Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef
Ohio St.,37,16_2,34_3,124.9,90.2,15.8,23.2,52.9,46.9,42.3,34.0,37.1,20.6
Kansas,38,14_2,35_3,119.7,89.6,19.1,20.1,56.8,44.5,38.2,29.8,39.3,31.9
Duke,37,13_3,32_5,119.5,89.9,17.2,21.0,52.5,43.1,37.4,32.4,37.4,29.6
Texas,36,13_3,28_8,114.3,88.5,17.3,18.8,48.1,41.9,37.6,29.5,43.1,30.7
Kentucky,38,10_6,29_9,118.2,91.8,16.1,18.2,48.8,42.4,39.7,32.4,36.1,30.1
Pittsburgh,34,15_3,28_6,118.6,92.5,18.4,17.5,50.5,43.2,39.5,32.6,43.1,32.3
Wisconsin,34,13_5,25_9,122.1,96.2,13.1,16.8,48.9,45.2,37.4,37.0,29.5,32.9
Notre Dame,34,14_4,27_7,122.1,96.5,16.4,15.8,50.7,43.6,38.6,35.3,45.1,25.6
Purdue,34,14_4,26_8,114.3,90.5,15.7,21.2,48.8,44.9,36.4,32.6,34.4,30.4
San Diego St.,35,14_2,32_3,112.5,89.5,16.9,19.4,50.2,42.7,34.2,31.6,31.1,28.0
North Carolina,37,14_2,29_8,111.6,89.1,18.3,19.6,49.1,44.4,32.8,33.1,37.9,24.8
Illinois,34,9_9,20_14,113.9,91.0,19.2,18.3,50.5,45.7,38.7,30.5,28.2,32.7
Connecticut,41,9_9,32_9,114.7,92.1,17.1,17.4,47.7,42.4,32.9,32.7,33.8,26.8
Syracuse,34,12_6,26_8,113.9,91.7,18.8,20.7,52.9,44.4,35.8,31.1,35.9,29.7
Louisville,35,12_6,25_10,110.7,89.1,19.0,23.4,51.5,43.4,36.2,31.1,29.9,39.8
BYU,36,14_2,31_5,116.0,93.8,15.2,20.2,50.2,45.2,35.9,33.3,38.1,33.6
Florida,37,13_3,29_8,115.2,93.9,18.7,19.1,51.7,47.5,35.2,31.1,35.7,27.8
Washington,35,11_7,24_11,117.3,95.6,16.8,20.4,52.5,45.3,37.1,32.8,31.5,44.0
West Virginia,33,11_7,21_12,114.4,93.6,18.8,18.6,47.5,47.0,33.7,29.1,40.9,36.0
Arizona,38,14_4,30_8,117.6,96.5,18.8,18.5,51.0,50.4,39.7,29.3,43.6,36.6
Kansas St.,33,10_6,22_11,111.4,91.7,21.3,22.2,46.4,45.1,37.5,35.1,43.1,45.3
