Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef,Rank
Villanova,40,14_4,36_4,128.4,94.1,15,18.2,59,49,40.1,31.7,29.4,26.7,1
Virginia,34,17_1,31_3,114.6,86.7,14,20.9,50.1,42.8,38.3,31,24.5,26.2,2
Duke,37,13_5,29_8,122.3,92.9,17.5,17.3,56,45.4,37.2,32,34.6,22.3,3
Purdue,37,15_3,30_7,123.2,95.7,15.8,17.7,54.1,45.5,42,33.2,35.6,24.2,4
Cincinnati,36,16_2,31_5,111.6,87.7,17,21.6,50.2,41.4,35.3,30.9,36,26.8,5
Kansas,39,13_5,31_8,122.1,96.4,16.6,18.2,55.6,48.6,40.1,33.3,27,24.6,6
Michigan,40,13_5,33_8,114.4,90.4,14,19.5,54.7,46.8,35.2,33.2,30.7,30,7
West Virginia,37,11_7,26_11,120.9,95.8,16.5,23.3,48.8,45.4,35.3,38,31.3,44.1,8
Michigan St.,35,16_2,30_5,118.9,94.3,19.2,14.6,55.2,38.4,40.1,33.7,35.9,30.7,9
North Carolina,37,11_7,26_11,120.7,97.1,16.7,16.3,51,45.3,35.9,38,28,26,10
Tennessee,35,13_5,26_9,114.2,92,17.9,20.4,47.3,46.1,38,31.8,35.5,37.6,11
Xavier,35,15_3,29_6,120.9,97.7,17.2,15.7,55.9,49.8,37.2,33.4,41,25.6,12
Gonzaga,37,17_1,32_5,117.2,94.9,16.1,17.4,58.2,44.1,36.8,35,32.1,29.1,13
Texas Tech,37,11_7,27_10,112.7,91.5,17.8,21.7,51.1,45.1,35.9,32.3,39.3,38,14
Ohio St.,34,15_3,25_9,116,94.3,17.1,17.9,54.7,46.1,35.3,35.1,31.1,29.5,15
Penn St.,39,9_9,26_13,115,93.6,17.3,19.5,49.8,46.7,38.7,34.2,31.5,32.1,16
Florida,34,11_7,21_13,115.2,93.9,14.3,20,47.6,46.6,37,35.2,32.6,32.4,17
Houston,35,14_4,27_8,114.8,93.9,17.5,19.1,50.5,43.8,38.7,32.3,32.6,41.6,18
Butler,35,9_9,21_14,116.1,95.3,15.7,19.5,54.3,49.5,35.7,37.3,26.1,35.3,19
Kentucky,37,10_8,26_11,115.8,95.6,18.6,16.8,51.2,48,35.7,30.1,44,32.3,20
Clemson,35,11_7,25_10,112.5,93.1,17.4,17.4,51.6,43.9,36.6,35.2,33.5,27.2,21
Seton Hall,34,10_8,22_12,117.8,98.2,17.8,17.7,52,50,36.5,33.8,35.2,29.8,22
Creighton,32,10_8,21_12,116.2,97.4,15.6,15.8,58.7,50,37.2,33.6,26.5,24.8,23
TCU,33,9_9,21_12,119.5,100.5,17.8,17.4,55.1,50.1,39.4,37.6,34.1,30.5,24
Auburn,34,13_5,26_8,114,96.9,16.4,20.7,48.7,47.7,35.7,35.1,39.8,38.1,25
Wichita St.,33,14_4,25_8,120.9,102.7,16.5,16.3,53.8,46,38.1,36.3,34.8,33.2,26
Texas A&M,35,9_9,22_13,111.2,94.7,19.2,15.3,52.5,45.7,32.9,32.6,32,27.6,27
Florida St.,35,9_9,23_12,113.2,96.4,17.8,19.4,53.6,45.4,35,35.5,37,32.4,28
Miami FL,32,11_7,22_10,113.3,96.6,16.8,18.8,52.2,48.8,36.4,32.8,29.1,28.1,29
Kansas St.,37,10_8,25_12,109.6,93.7,17.2,21.6,53.4,48.9,34.1,33,33.8,36.8,30
Virginia Tech,33,10_8,21_12,115.2,98.6,17,18.6,57.3,49.2,38.8,34.7,36.5,29.4,31
Texas,34,8_10,19_15,109.3,93.7,17,18,51.2,47.5,32,33.2,33,26.2,32
Maryland,31,8_10,19_13,113.9,97.8,20.4,16.3,53.9,45.6,36.8,33.8,37.9,24,33
Arizona,35,14_4,27_8,117,100.4,17.5,16.7,56.7,47.7,36.9,35.8,36.9,31.2,34
Oklahoma St.,36,8_10,21_15,112.7,96.8,18.1,20.3,48.3,47.5,34.8,36.7,32.2,35.6,35
San Diego St.,32,11_7,22_11,110.2,94.9,17,19,52,47.8,34.1,33.2,35.1,29.6,36
Louisville,36,9_9,22_14,112,96.4,16.7,18.9,49.7,45.8,37.1,32.9,31.9,29.3,37
Arkansas,35,10_8,23_12,116.7,100.4,15.1,19.4,51.2,48.2,39.5,35.7,37.4,40.8,38
Saint Mary's,36,16_2,30_6,118.7,102.3,15.4,15.1,57.1,49.5,41,32.3,30.4,24.8,39
Nevada,37,15_3,29_8,118.9,102.5,13.5,18,52.1,50.7,39.2,31.7,36.3,30.1,40
Loyola Chicago,37,15_3,32_6,110.5,95.4,19.1,19.4,56.6,47.1,39.8,32,32.2,25.2,41
Marquette,35,9_9,21_14,120.1,103.8,17.3,18.1,52.2,53.8,41.7,35.9,28.8,38.9,42
Baylor,33,8_10,19_15,110.5,95.5,19.8,17.2,51.3,46.2,35.4,33.4,32.2,30.2,43
USC,36,12_6,24_12,114,98.6,15.3,19.2,52.4,49.8,37.6,35.2,29.9,26.6,44
Missouri,32,10_8,20_13,111,96,20.8,16,50.3,45.4,39,32.7,38.3,30.3,45
Oklahoma,32,8_10,18_14,114.6,99.5,17.3,16.8,53.3,49.1,35.9,36.2,33.2,25.6,46
Syracuse,37,8_10,23_14,106,92.1,19.1,19.5,46.6,45.1,31.7,31.8,40.5,31.4,47
Mississippi St.,36,9_9,25_12,111.2,96.6,19.1,19.5,55.2,47.2,31.5,33.3,31.7,29.7,48
Nebraska,33,13_5,22_11,110.4,96.1,16,18.3,47.6,46.5,34.6,32.2,37.6,26.5,49
Notre Dame,35,8_10,21_15,114.1,99.4,14.7,16.4,49.6,47,35.6,35.4,31,22.6,50
