Opponent,Results,Score,PlusMinus
Mississippi,L, 90_53 ,-12.7
Belmont,L, 78_42 ,-14.6
Tulane,L, 82_55 ,-18
DePaul,L, 58_50 ,-6.8
Evansville,L, 61_57 ,0.9
Southern Illinois,L, 82_63 ,-10.5
Arkansas,L, 76_51 ,-11.2
Auburn,L, 94_78 ,-10
Grambling St.,W, 70_55 ,10.3
Jackson St.,L, 63_62 ,1.6
Mississippi Valley St.,L, 76_73 ,-1.7
Arkansas Pine Bluff,W, 75_73 OT,3.3
Alabama A&M,W, 83_69 ,6
Alcorn St.,W, 69_62 ,12.4
Southern,W, 77_60 ,10.9
Texas Southern,W, 62_61 ,2.5
Prairie View A&M,L, 56_55 ,6
Mississippi Valley St.,L, 82_71 ,-8.2
Arkansas Pine Bluff,L, 47_42 ,-5.7
Alabama A&M,W, 80_76 ,-7.1
Alcorn St.,W, 91_64 ,21.6
Southern,W, 73_64 ,9.7
Texas Southern,W, 69_61 ,3.3
Prairie View A&M,W, 52_43 ,2
Grambling St.,W, 81_76 ,1.3
Jackson St.,L, 60_59 ,-8.5
Alabama A&M,W, 56_45 ,7.5
Arkansas Pine Bluff,L, 46_44 ,-1.8
