Opponent,Results,Score,PlusMinus
Cornell,L, 71_67 ,-6.2
Jackson St.,W, 86_69 ,7.5
Providence,W, 84_75 ,0.1
Baylor,W, 79_76 ,2.3
Florida St.,L, 60_51 ,-3.4
Michigan,W, 68_66 ,-4.4
North Florida,W, 73_51 ,7.2
Louisiana Monroe,W, 74_46 ,15.7
Purdue,L, 73_65 ,4.6
Samford,W, 60_45 ,8.2
Kansas St.,L, 87_74 ,-13.5
Mercer,W, 90_71 ,14.1
Tennessee St.,W, 77_65 ,2.7
Toledo,W, 67_50 ,11.9
LSU,W, 66_49 ,12.5
Vanderbilt,L, 65_64 ,4.1
Arkansas,L, 71_59 ,-1.7
Tennessee,L, 63_56 ,-1.6
Mississippi St.,W, 62_57 ,5
LSU,W, 57_38 ,3
Auburn,L, 58_57 ,0.1
Florida,L, 66_65 ,1.3
Mississippi,L, 74_67 ,9.5
Kentucky,L, 66_55 ,-4.8
Arkansas,W, 73_68 ,-4
Georgia,L, 76_70 ,1.5
Mississippi St.,L, 74_66 ,-3.5
Mississippi,L, 76_73 ,2.4
South Carolina,W, 79_70 ,-4.9
Auburn,W, 73_61 ,3.2
South Carolina,W, 68_63 ,-5.7
Kentucky,L, 73_67 ,1.2
