Opponent,Results,Score,PlusMinus
Colorado,L, 88_72 ,-13.6
Denver,L, 75_56 ,-6.2
UTEP,L, 70_52 ,-3.9
Akron,L, 68_65 ,-3.1
Arizona St.,L, 74_57 ,-11
Michigan,L, 67_53 ,-5.2
Oklahoma St.,L, 81_66 ,-6.1
Georgia Tech,L, 65_53 ,-6.8
Missouri,L, 88_70 ,-14.3
Kansas St.,L, 90_76 ,-11.9
Oregon,L, 73_53 ,-5.6
Mississippi Valley St.,W, 69_68 OT,1.7
Alabama A&M,W, 82_72 ,7.5
Alabama St.,L, 75_73 OT,-3.3
Southern,W, 64_51 ,6.6
Alcorn St.,W, 93_59 ,14.3
Prairie View A&M,W, 62_54 ,4.8
Texas Southern,L, 70_67 ,-6.2
Grambling St.,W, 92_69 ,14.4
Jackson St.,L, 72_67 ,-10.6
Alabama St.,W, 47_42 ,5.7
Southern,W, 66_62 ,-2.5
Alcorn St.,W, 59_45 ,5.2
Prairie View A&M,W, 57_55 OT,0.6
Texas Southern,W, 57_53 OT,0.8
Grambling St.,W, 68_56 ,11.2
Jackson St.,L, 57_54 ,-7.9
Mississippi Valley St.,W, 84_68 ,9.3
Mississippi Valley St.,W, 69_66 ,4.7
Alabama St.,W, 46_44 ,1.8
Texas Southern,W, 50_38 ,3.7
Winthrop,W, 61_44 ,4.1
Duke,L, 73_44 ,-15.8
