Opponent,Results,Score,PlusMinus
Tennessee,L, 83_54 ,-11.7
Akron,W, 80_77 ,-5.8
IUPUI,L, 77_63 ,-7.8
North Carolina St.,L, 66_59 ,-7.9
Niagara,W, 69_67 ,-8.6
Drake,L, 78_72 ,-6.2
Southeast Missouri St.,W, 76_71 OT,2.1
Eastern Illinois,W, 73_60 ,8.1
Ohio,W, 68_66 ,-2.8
Kentucky,L, 90_69 ,-8.7
Evansville,W, 71_68 ,3.1
Missouri,L, 94_79 ,-10.6
Morehead St.,L, 68_65 OT,-3.7
Eastern Kentucky,L, 76_71 ,-8.8
Tennessee Martin,W, 90_72 ,5
Murray St.,L, 69_53 ,-5.4
Tennessee St.,W, 79_77 ,1.5
Tennessee Tech,L, 94_90 ,1
Jacksonville St.,W, 66_64 OT,5.5
Eastern Kentucky,W, 80_76 ,3.1
Morehead St.,W, 56_55 ,-5.9
Tennessee Martin,W, 74_69 ,8.5
Murray St.,L, 65_63 ,2.2
Tennessee St.,L, 76_67 ,3.7
Jacksonville St.,W, 83_63 ,12.5
Tennessee Tech,W, 77_72 OT,-4.2
Oral Roberts,L, 89_80 ,-2.4
Eastern Illinois,L, 83_73 ,-1.8
Southeast Missouri St.,W, 71_68 OT,-4.5
Tennessee Tech,L, 68_65 ,0.3
