Opponent,Results,Score,PlusMinus
Bradley,W, 70_60 ,6.2
Idaho St.,W, 87_53 ,10.4
Hawaii,W, 83_65 ,9.6
Southern,W, 107_51 ,23.4
Weber St.,W, 87_70 ,6.3
Utah St.,L, 71_61 ,-0.4
San Francisco,W, 69_43 ,9.8
Arizona St.,W, 81_68 ,7.9
Fresno St.,W, 72_67 ,5.4
Wagner,W, 77_61 ,14.9
Eastern Washington,W, 91_34 ,29.6
Nevada,W, 110_104 ,2.6
Nebraska,W, 88_66 ,17.2
Arizona,W, 99_69 ,15.4
UNLV,W, 77_73 ,-0.3
UTEP,W, 83_77 ,2.5
Air Force,W, 67_49 ,7.7
Colorado St.,W, 91_47 ,11
Wyoming,W, 81_66 ,8.2
San Diego St.,W, 71_69 ,4.1
New Mexico,L, 76_72 ,-3.8
Utah,W, 82_69 ,11.1
TCU,W, 76_56 ,10.8
UNLV,L, 88_74 ,-16.6
Air Force,W, 91_48 ,20.4
Colorado St.,W, 92_70 ,10.4
Wyoming,W, 85_63 ,9.5
San Diego St.,W, 82_68 ,5.1
New Mexico,L, 83_81 ,-0.9
Utah,W, 71_51 ,12.6
TCU,W, 107_77 ,6.7
TCU,W, 95_85 ,4.2
UNLV,L, 70_66 ,-3.3
Florida,W, 99_92 2OT,1.8
Kansas St.,L, 84_72 ,-2.3
