Opponent,Results,Score,PlusMinus
VCU,L, 77_51 ,-13.1
Old Dominion,L, 69_38 ,-9.4
Mississippi St.,L, 67_51 ,-6.7
Longwood,W, 66_62 ,0.9
UT Rio Grande Valley,W, 67_64 ,0.7
Florida Gulf Coast,W, 67_59 ,8.7
Florida A&M,W, 58_57 ,1.9
UCF,L, 63_50 ,-2.9
Jacksonville,L, 56_48 ,-7.1
Miami FL,L, 73_55 ,-9.3
LIU Brooklyn,W, 78_69 ,7
Norfolk St.,W, 77_61 ,15.5
North Carolina A&T,W, 66_65 ,2.4
Delaware St.,L, 77_60 ,-2
Maryland Eastern Shore,W, 63_51 ,-1.9
Hampton,W, 57_52 ,4.9
Howard,L, 67_64 ,-15.2
South Carolina St.,L, 58_55 ,3.4
Winston Salem St.,W, 74_48 ,8.2
Coppin St.,W, 65_58 OT,1.9
Morgan St.,L, 48_47 ,-1.1
Delaware St.,L, 67_50 ,-3.9
Maryland Eastern Shore,L, 62_56 ,-2.4
Hampton,L, 71_44 ,-7.1
Howard,W, 52_44 ,7.6
South Carolina St.,L, 58_46 ,-6.8
Winston Salem St.,W, 66_45 ,6.1
Florida A&M,L, 69_64 ,2.3
Florida A&M,W, 64_53 ,5.4
Delaware St.,L, 57_55 ,-5.5
