Opponent,Results,Score,PlusMinus
UC Davis,W, 91_73 ,5.8
Winston Salem St.,W, 57_40 ,-1.1
Oregon,L, 68_55 ,-9.1
Indiana St.,L, 65_60 ,-1.4
San Francisco,W, 91_75 2OT,2
Northern Colorado,L, 70_63 ,-5.3
Denver,W, 64_59 ,1.8
Colorado,W, 77_62 ,7.3
Montana,W, 62_61 ,2.4
Northern Arizona,W, 64_56 ,6.2
UCLA,L, 75_63 ,0.3
Fresno St.,L, 73_50 ,-15.1
Yale,W, 93_71 ,15.6
Wyoming,W, 83_73 ,5.4
Air Force,W, 70_48 ,9.4
BYU,L, 91_47 ,-11
UNLV,L, 80_72 ,-1.6
New Mexico,L, 82_64 ,-9
TCU,W, 63_57 ,0.1
San Diego St.,L, 64_52 ,-7.5
Utah,W, 65_50 ,5.6
Wyoming,W, 80_64 ,10.6
Air Force,W, 51_47 ,-2.9
BYU,L, 92_70 ,-10.4
UNLV,L, 70_39 ,-19.4
New Mexico,L, 72_66 ,-1.3
TCU,L, 73_67 ,1.7
San Diego St.,L, 68_55 ,-10.5
Utah,W, 76_67 ,4.5
San Diego St.,L, 72_71 ,-1.4
Morehead St.,L, 74_60 ,-6
