Opponent,Results,Score,PlusMinus
Columbia,W, 59_53 ,4.1
Northern Iowa,W, 60_52 ,-2.9
Tennessee,L, 57_53 ,-3.3
Saint Joseph's,W, 58_51 ,4.2
Detroit,W, 68_66 OT,3.6
Alabama St.,W, 58_50 ,6.8
Vanderbilt,L, 67_54 ,-3.1
Mississippi St.,L, 76_45 ,-13.2
Illinois Chicago,W, 77_56 ,8.4
American,L, 62_57 ,-2.5
Texas St.,W, 86_69 ,2.7
Florida Gulf Coast,L, 64_61 ,-4.2
Pittsburgh,L, 65_52 ,-10
Georgetown,L, 67_50 ,-8.5
Villanova,L, 99_72 ,-20.2
Providence,L, 79_62 ,-5.1
St. John's,L, 67_47 ,-8.9
Marquette,W, 51_50 ,-4.9
Notre Dame,L, 87_77 ,-9.2
West Virginia,L, 62_46 ,-10.7
Syracuse,L, 59_57 ,6.5
Marquette,L, 80_69 ,-11.8
Connecticut,L, 64_57 ,-0.9
Seton Hall,L, 79_71 ,-8.9
Rutgers,L, 68_64 ,6.1
Louisville,L, 68_59 ,-2.3
Cincinnati,L, 74_69 ,-6.2
Rutgers,L, 71_62 ,1.7
South Florida,L, 63_59 ,-0.3
St. John's,L, 90_82 3OT,6.7
South Florida,L, 58_49 ,-9.1
