Opponent,Results,Score,PlusMinus
Nicholls St.,W, 85_62 ,5.5
Iowa,W, 52_50 ,3.5
Binghamton,W, 70_52 ,13.3
Western Carolina,L, 83_77 ,1.1
Radford,W, 71_63 ,5
Pittsburgh,L, 67_58 2OT,5.5
Savannah St.,W, 58_44 ,13.4
West Virginia,L, 68_39 ,-17.3
Robert Morris,W, 59_54 ,2
Canisius,W, 86_77 2OT,-1.7
IUPUI,L, 73_64 ,-8.3
St. Francis PA,W, 86_56 ,14.8
Old Dominion,L, 63_54 ,-4.1
Richmond,L, 80_68 ,-2.5
Dayton,L, 78_72 OT,0
Saint Louis,L, 79_75 2OT,-0.4
Rhode Island,L, 75_67 ,-3.4
St. Bonaventure,W, 70_69 ,6.6
Xavier,L, 86_50 ,-14.3
Saint Joseph's,W, 74_71 ,2.1
Temple,L, 76_60 ,-5
George Washington,W, 70_63 ,1
Massachusetts,L, 84_80 OT,6.9
La Salle,W, 103_82 ,1.2
Charlotte,W, 83_77 ,0.3
Dayton,W, 73_71 ,-1.5
Saint Louis,L, 69_59 ,-3.5
St. Bonaventure,L, 92_80 ,-9.6
Fordham,W, 111_100 ,2.3
St. Bonaventure,L, 83_71 ,-3.6
Princeton,L, 65_51 ,-2.5
