Opponent,Results,Score,PlusMinus
Oakland,W, 81_77 ,5.9
The Citadel,L, 63_56 ,-3.6
Maryland Eastern Shore,W, 76_51 ,6.4
Missouri St.,L, 75_61 ,-13.8
Southeast Missouri St.,W, 86_76 ,0
Canisius,W, 75_58 ,15.5
Ohio St.,L, 111_60 ,-24
James Madison,W, 75_64 ,2.3
Georgia St.,L, 66_65 ,-1.2
Samford,L, 58_56 ,1.8
Chicago St.,W, 59_47 ,-1.2
Western Michigan,L, 61_47 ,-12.3
Toledo,W, 74_59 ,5.4
Northern Illinois,L, 77_69 ,-4.8
Central Michigan,L, 71_63 ,-9
Ball St.,W, 57_53 ,-0
Bowling Green,L, 64_61 ,5.2
Miami OH,L, 61_51 ,-8
Akron,W, 62_59 ,1.9
Kent St.,L, 75_68 ,-6.9
Ohio,W, 70_61 ,2.1
Buffalo,L, 84_67 ,-7.5
Western Michigan,W, 66_52 ,6.1
Toledo,W, 58_42 ,15
Detroit,L, 68_66 ,-5
Ball St.,W, 72_67 ,1
Northern Illinois,W, 66_60 ,1.2
Central Michigan,L, 56_55 ,-2.2
Northern Illinois,W, 65_59 ,-4.6
Akron,L, 97_89 2OT,-4.1
