Opponent,Results,Score,PlusMinus
Georgia Tech,L, 100_59 ,-21.2
Creighton,L, 78_53 ,-15.4
Cleveland St.,L, 78_64 ,-8
Stanford,L, 99_69 ,-11.2
Rider,L, 88_73 ,-2.6
Oral Roberts,L, 72_51 ,-12.9
UAB,L, 90_59 ,-9.9
Florida,L, 80_59 ,-10.6
FIU,L, 61_56 ,-1
Bethune Cookman,L, 58_57 ,-1.9
Georgia St.,W, 60_58 ,4
San Diego,L, 74_64 ,-9.1
North Carolina A&T,W, 70_66 ,5
Norfolk St.,L, 78_65 ,-5.7
Maryland Eastern Shore,L, 67_51 ,-9.5
Delaware St.,L, 64_57 ,-1.5
Howard,W, 72_65 ,-0.7
Hampton,L, 66_53 ,-3.8
Winston Salem St.,W, 75_69 ,10.9
South Carolina St.,L, 77_62 ,-4.8
Morgan St.,L, 94_68 ,-13.4
Coppin St.,L, 70_44 ,-5.7
Maryland Eastern Shore,W, 80_71 ,6.1
Delaware St.,L, 66_63 ,-3
Howard,W, 72_67 OT,4.9
Hampton,L, 70_61 ,-2
Winston Salem St.,W, 75_61 ,2.9
South Carolina St.,L, 91_65 ,-7
Bethune Cookman,W, 69_64 ,-2.3
Bethune Cookman,L, 64_53 ,-5.4
