Opponent,Results,Score,PlusMinus
Holy Cross,W, 87_77 ,2.9
William & Mary,W, 87_85 3OT,3.5
Bryant,W, 77_51 ,8.9
Army,L, 56_53 ,-3.1
New Hampshire,W, 78_60 ,15.3
Boston University,W, 78_70 ,0.9
Rice,W, 85_64 ,10.4
Connecticut,L, 79_73 ,-7.5
Boston College,W, 74_67 ,0
Georgetown,L, 86_70 ,-9
George Washington,W, 66_53 ,2.9
Seattle,W, 92_71 ,15.4
Santa Clara,W, 74_66 ,5.8
Dartmouth,W, 76_47 ,9.7
Dartmouth,W, 62_58 ,0.9
Columbia,W, 74_45 ,11.8
Cornell,L, 86_50 ,-10.8
Princeton,L, 56_53 ,-6.2
Penn,W, 80_66 ,11.1
Yale,W, 82_79 OT,-1.4
Brown,W, 81_67 ,3
Cornell,L, 79_70 ,-7
Columbia,W, 77_57 ,12.8
Brown,W, 91_71 ,10
Yale,W, 78_58 ,12
Penn,W, 67_66 ,1.7
Princeton,L, 54_51 ,2.4
Appalachian St.,L, 93_71 ,-2.5
