Opponent,Results,Score,PlusMinus
Southern Utah,W, 65_48 ,6.6
McNeese St.,W, 73_65 ,5.2
Northern Colorado,L, 81_75 ,-
BYU,L, 83_65 ,-9.6
New Mexico,L, 83_71 ,-6.6
UC Irvine,L, 80_70 ,-11.3
Lamar,W, 96_78 ,10.4
Chicago St.,W, 83_58 ,4.5
College of Charleston,W, 84_71 ,12.7
UNLV,L, 77_53 ,-15.3
Saint Mary's,L, 84_75 ,-6.7
Northwestern St.,W, 81_62 ,5.3
Idaho,L, 59_52 ,-5.5
Boise St.,W, 76_68 ,4.6
Fresno St.,L, 78_64 ,-12.9
Utah St.,L, 98_54 ,-22.3
San Jose St.,W, 68_67 ,2
New Mexico St.,L, 71_69 ,-
Louisiana Tech,L, 65_60 ,-1.7
San Jose St.,L, 83_60 ,-10.2
Nevada,L, 66_60 ,-5.2
Fresno St.,L, 61_51 ,-2.6
Louisiana Tech,L, 66_60 ,-5.9
New Mexico St.,L, 88_64 ,-12.8
Cal Poly,L, 102_89 ,-12.2
Utah St.,L, 61_50 ,-4.9
Nevada,W, 74_63 ,3.9
Boise St.,L, 82_63 ,-6.2
Idaho,L, 78_69 ,-1.3
