Opponent,Results,Score,PlusMinus
LSU,L, 56_45 ,-3.4
Milwaukee,W, 76_63 ,2.3
Colorado St.,W, 65_60 ,1.4
Coastal Carolina,L, 77_62 ,-5.9
Western Kentucky,W, 64_63 ,7
Arkansas St.,W, 77_72 ,3
Ball St.,L, 68_63 ,-7.7
Oral Roberts,W, 60_54 ,2.2
Toledo,W, 55_54 ,1.9
IUPUI,W, 72_59 ,2
Southern Illinois,L, 70_52 ,-3.6
Creighton,W, 70_64 ,3.4
Drake,W, 60_46 ,-1.1
Bradley,L, 91_85 OT,-4.2
Evansville,W, 69_55 ,9.3
Wichita St.,L, 84_73 ,-7.9
Northern Iowa,L, 62_40 ,-8.5
Missouri St.,L, 99_92 OT,-12.6
Northern Iowa,L, 67_58 ,-7
Southern Illinois,W, 68_65 ,3
Evansville,W, 63_56 ,-2
Illinois St.,W, 72_65 ,1.5
Wichita St.,L, 76_70 ,7.6
Creighton,L, 65_52 ,-9.8
Drake,W, 76_66 ,5.3
Bradley,W, 75_69 OT,4.1
Green Bay,L, 60_59 ,4
Illinois St.,L, 75_58 ,-7.4
Missouri St.,W, 75_72 OT,-2.7
Illinois St.,L, 69_65 ,-0.5
Saint Louis,L, 63_54 ,-12.2
