Opponent,Results,Score,PlusMinus
Howard,W, 83_60 ,11.9
USC Upstate,W, 69_61 ,7.7
Mississippi,L, 89_71 ,-6.6
Boston University,L, 71_67 ,3.5
George Mason,L, 69_66 ,0.6
Northwestern St.,W, 90_72 ,9.9
Maryland,L, 80_68 ,-1.1
Pittsburgh,W, 74_64 ,4.6
Kentucky,L, 90_73 ,-4.6
North Carolina Central,W, 81_58 ,6.3
Loyola MD,L, 72_67 ,-12.5
Bryant,W, 90_42 ,20
Michigan,W, 71_65 ,1.9
Ohio St.,L, 79_54 ,-15
Illinois,L, 66_60 ,6.4
Michigan,L, 69_45 ,-5.3
Minnesota,W, 81_78 OT,6.4
Penn St.,W, 67_61 ,5
Iowa,L, 58_43 ,-6.8
Illinois,L, 72_70 ,-1.8
Purdue,L, 78_75 ,-0.5
Northwestern,L, 78_61 ,-12.5
Ohio St.,L, 69_52 ,-9.6
Wisconsin,L, 83_55 ,-19
Michigan St.,L, 72_58 ,-7.6
Minnesota,L, 81_58 ,-14.3
Wisconsin,L, 78_46 ,-11.4
Iowa,L, 73_57 ,-8.9
Purdue,L, 74_55 ,-12.6
Northwestern,W, 88_80 OT,2.5
Northwestern,L, 73_58 ,2
