Opponent,Results,Score,PlusMinus
George Mason,L, 76_72 ,-8.2
Clemson,L, 79_39 ,-19.4
Old Dominion,L, 73_41 ,-18.8
Notre Dame,L, 91_72 ,-9.4
Northwestern,L, 69_53 ,-13.2
Mississippi Valley St.,W, 72_53 ,5.3
Tennessee St.,W, 63_60 ,0.1
Charleston Southern,W, 69_53 ,6.2
Coastal Carolina,L, 73_58 ,-11.8
UCF,L, 82_58 ,-7.6
Buffalo,L, 81_64 ,-10.4
VMI,W, 110_102 ,-1
Presbyterian,W, 77_67 ,8.3
Winthrop,L, 65_62 ,-3
Gardner Webb,W, 68_57 ,7.6
UNC Asheville,L, 74_70 ,-4.4
High Point,L, 81_53 ,-12.5
Radford,W, 60_55 ,-0.5
VMI,W, 91_73 ,7.1
Winthrop,L, 67_43 ,-9.2
Presbyterian,W, 60_57 ,2.6
UNC Asheville,L, 75_72 ,-8.5
Gardner Webb,W, 69_61 ,0.1
Radford,L, 74_69 ,0.4
High Point,W, 76_67 ,-1.5
Coastal Carolina,L, 71_48 ,-14.6
Charleston Southern,W, 74_61 ,1.9
Winthrop,L, 80_72 ,-6.3
