Opponent,Results,Score,PlusMinus
North Carolina A&T,W, 79_63 ,7.7
Middle Tennessee,W, 63_60 ,1.1
Old Dominion,L, 70_62 ,-6.5
Lamar,W, 87_74 ,13.5
Ohio,W, 60_53 ,5.9
Binghamton,W, 69_55 ,9.7
Troy,W, 99_70 ,16.9
High Point,W, 109_76 ,12.3
North Carolina,L, 98_61 ,-7.8
Troy,W, 78_75 ,-3.2
St. Bonaventure,W, 80_61 ,10.5
Southern Miss,W, 76_63 ,7.3
East Carolina,W, 83_65 ,8.6
UCF,W, 81_75 ,-2.5
Tulane,W, 89_79 ,6.6
West Virginia,L, 68_60 ,-2.4
UAB,L, 61_59 ,-1.6
Memphis,L, 75_72 ,-3.7
Houston,L, 81_66 ,-8
Tulsa,L, 73_69 ,4.9
East Carolina,W, 100_49 ,10.6
UAB,W, 81_74 ,2
Tulsa,W, 64_58 ,2.7
Tulane,W, 58_55 ,0.2
Rice,W, 77_54 ,10.7
UCF,W, 121_115 3OT,5.1
UTEP,L, 80_76 ,-1.6
SMU,W, 73_57 ,3
Tulsa,L, 80_64 ,-0.6
Western Carolina,W, 90_88 ,3.5
Appalachian St.,L, 80_72 ,-6.2
