Opponent,Results,Score,PlusMinus
North Carolina Central,W, 83_53 ,8.5
Tulane,W, 74_54 ,5.8
UNC Wilmington,W, 67_60 ,-0.3
South Carolina,W, 85_70 ,2.1
Florida Gulf Coast,W, 77_58 ,13.1
USC Upstate,W, 70_41 ,12.7
Minnesota,W, 63_58 ,0.2
Boston College,L, 61_60 ,-3.7
South Carolina St.,W, 91_54 ,14.2
Stetson,W, 69_49 ,10.4
Florida Atlantic,W, 87_69 ,12.5
North Carolina A&T,W, 80_59 ,14.1
Bethune Cookman,W, 73_55 ,9.3
Pepperdine,W, 86_63 ,11.2
Wake Forest,W, 67_66 ,2.6
Virginia Tech,L, 81_66 ,-20.2
Virginia,L, 75_57 ,-10.3
Boston College,L, 79_75 ,5.1
Maryland,L, 81_59 ,-13.6
Virginia Tech,W, 82_75 ,8
Wake Forest,L, 62_53 ,-7.8
Florida St.,L, 71_65 ,-2.3
Georgia Tech,W, 64_62 ,4.9
Clemson,L, 74_66 ,-3.7
Duke,L, 81_74 ,1.7
Virginia,W, 74_62 ,3.4
North Carolina St.,L, 71_66 ,-0
North Carolina,L, 69_62 ,-7.4
Florida St.,L, 61_60 ,-6.3
Wake Forest,W, 83_62 ,11.6
Virginia Tech,W, 70_65 ,-3
Duke,L, 77_74 ,-5.9
