Opponent,Results,Score,PlusMinus
Western Kentucky,L, 69_65 ,-2.1
Indiana St.,L, 76_63 ,-2.3
Texas St.,W, 96_77 ,19
Colgate,W, 69_60 ,1.2
Bowling Green,W, 90_83 OT,0.7
Illinois Chicago,W, 57_52 ,3.4
Loyola Chicago,L, 69_64 ,-6.1
Marquette,L, 71_51 ,-7.8
North Dakota St.,W, 84_73 ,7.2
Miami OH,W, 68_61 ,6.6
Wisconsin,L, 68_58 ,-8
Valparaiso,L, 55_54 ,-2.9
Butler,L, 80_67 ,-9.4
SIU Edwardsville,W, 83_73 ,9.1
Green Bay,W, 71_51 ,7.1
Detroit,L, 81_65 ,-3.8
Wright St.,W, 67_61 OT,-3.3
Youngstown St.,W, 69_59 ,6.1
Cleveland St.,L, 73_72 ,4.8
Valparaiso,W, 85_82 ,3.5
Butler,L, 73_66 ,0.2
Green Bay,L, 61_54 ,-4.1
Wright St.,L, 68_63 ,-3.3
Detroit,W, 71_60 ,2.7
Youngstown St.,W, 64_62 ,2.1
Cleveland St.,W, 69_59 ,4.2
Niagara,L, 85_79 ,-2.8
Loyola Chicago,W, 63_61 ,-4.9
Illinois Chicago,W, 78_74 ,8.5
Illinois Chicago,W, 73_67 ,0
Cleveland St.,W, 82_75 ,9.3
Butler,L, 68_59 ,-1.4
