Opponent,Results,Score,PlusMinus
Duquesne,L, 85_62 ,-5.5
Houston,L, 92_60 ,-9.8
New Mexico,L, 83_59 ,-11.1
Miami OH,L, 69_58 ,-0.8
Louisiana Tech,L, 77_45 ,-10.3
Washington St.,L, 78_69 ,-2
Oklahoma,L, 81_60 ,-1.5
LSU,L, 63_60 ,-0.7
Jacksonville St.,W, 60_55 ,7.7
Northwestern St.,W, 79_72 ,-2.1
UTSA,L, 64_59 ,-1.1
Stephen F. Austin,W, 70_63 ,4.3
Central Arkansas,L, 64_50 ,-11.6
Northwestern St.,L, 99_98 2OT,-4.9
McNeese St.,W, 63_61 ,1
Southeastern Louisiana,L, 84_65 ,-4.6
Stephen F. Austin,L, 68_67 OT,-2.8
Texas A&M Corpus Chris,L, 71_46 ,-11.5
Sam Houston St.,L, 75_69 ,-4.8
Southeastern Louisiana,L, 76_63 ,-6.9
Texas St.,W, 66_63 ,2.3
Central Arkansas,W, 68_51 ,11.8
McNeese St.,L, 69_53 ,-8.4
UT Arlington,W, 73_64 ,11.3
Lamar,W, 73_61 ,2.4
Sam Houston St.,L, 62_57 ,-3.3
