Opponent,Results,Score,PlusMinus
Mount St. Mary's,W, 95_71 ,7.5
Louisiana Monroe,W, 72_61 ,2.2
VCU,L, 82_69 ,-11.6
San Diego,L, 76_64 ,-6.9
Houston,L, 100_93 ,4.1
Nicholls St.,W, 81_60 ,1.5
Arkansas,W, 67_47 ,3.7
Arizona,W, 79_62 ,14.5
Centenary,W, 86_62 ,17.6
Utah,W, 78_73 OT,1.2
Northern Colorado,W, 80_79 ,3.2
UTEP,L, 89_74 ,-10
Gonzaga,L, 83_69 ,-12.3
Maryland Eastern Shore,W, 88_54 ,19
Baylor,L, 91_60 ,-7.6
Oklahoma St.,W, 62_57 OT,-0.1
Missouri,W, 66_61 ,-2
Texas A&M,L, 65_62 ,-3.5
Texas Tech,L, 75_65 ,2
Iowa St.,W, 89_84 ,10.6
Nebraska,L, 63_46 ,-8.4
Texas,W, 80_71 ,9
Texas Tech,L, 72_71 ,-3.9
Oklahoma St.,L, 97_76 ,-9
Colorado,L, 77_67 ,-4.9
Kansas St.,L, 83_68 ,-3.2
Kansas,L, 81_68 ,-14.1
Baylor,L, 70_63 ,0.2
Texas,L, 87_76 ,2.6
Texas A&M,L, 69_54 ,-3.3
Oklahoma St.,L, 81_67 ,-16.5
