Opponent,Results,Score,PlusMinus
Wake Forest,L, 76_56 ,-12
Stanford,W, 83_81 ,3.4
Virginia,L, 76_55 ,-6.7
Sam Houston St.,L, 71_65 ,-3.7
Florida A&M,W, 72_51 ,12.9
Arkansas Little Rock,L, 73_68 ,-3.5
UMKC,W, 68_57 ,1
Southern Utah,W, 68_53 ,12.5
Missouri,W, 60_59 ,-0.1
Indiana St.,L, 60_54 ,-2.2
Louisville,L, 94_57 ,-17.7
New Mexico,W, 75_66 ,5.7
South Dakota St.,L, 72_70 ,2
North Dakota St.,W, 65_59 ,3.2
Oakland,L, 67_64 ,-4.1
IPFW,W, 68_55 ,4.6
IUPUI,L, 90_87 OT,-5.8
Western Illinois,W, 74_62 ,2.6
Tulsa,L, 57_52 ,5.6
Centenary,W, 87_56 ,20.5
North Dakota St.,W, 71_57 ,4.5
South Dakota St.,W, 68_63 ,1
IPFW,W, 71_68 OT,-5.1
Oakland,L, 79_77 ,3
Western Illinois,L, 64_62 ,-7.7
IUPUI,W, 61_60 ,-1.7
Centenary,W, 76_56 ,11.1
Austin Peay,W, 89_80 ,2.4
Southern Utah,W, 85_65 ,5.2
UMKC,W, 89_72 ,8.8
North Dakota St.,W, 65_64 OT,5.2
IUPUI,L, 69_65 ,-8.2
