Opponent,Results,Score,PlusMinus
Brown,W, 78_57 ,5.8
Holy Cross,W, 92_75 ,12.4
Stony Brook,W, 75_58 ,11.4
Davidson,W, 75_65 ,5.6
VCU,L, 82_80 ,-0.6
Providence,W, 86_82 ,-3.9
Quinnipiac,W, 83_74 ,6.1
Northeastern,W, 79_76 ,2.4
Boston College,W, 80_69 ,6.5
Fairfield,W, 89_84 ,0.1
Drexel,W, 80_79 ,0.4
Oklahoma St.,W, 63_59 ,4.2
Akron,W, 68_63 ,-1.6
Temple,L, 68_64 OT,-1
Saint Joseph's,W, 101_74 ,19.1
Fordham,W, 85_67 ,4.3
Duquesne,W, 75_67 ,3.4
Xavier,L, 72_61 ,-0.7
Dayton,W, 65_64 ,-4
George Washington,W, 72_66 ,7.4
La Salle,W, 90_83 ,7.8
Massachusetts,W, 93_85 ,10.3
Richmond,L, 69_67 ,-1.4
Temple,L, 78_56 ,-14.1
Saint Louis,L, 62_57 ,2.4
Fordham,W, 101_75 ,22.8
St. Bonaventure,L, 81_74 ,-3.6
Charlotte,W, 80_58 ,2.7
Massachusetts,L, 69_67 ,3.9
Saint Joseph's,W, 87_76 ,3.7
Saint Louis,W, 63_47 ,7.7
Temple,L, 57_44 ,-13.1
Northwestern,W, 76_64 ,4.9
Nevada,W, 85_83 ,5.3
Virginia Tech,W, 79_72 ,-1.9
North Carolina,L, 68_67 OT,-
