Opponent,Results,Score,PlusMinus
Drexel,W, 77_67 OT,-0.7
Holy Cross,W, 69_67 ,3.7
Boston College,W, 84_80 ,1.2
Purdue,L, 85_60 ,-3.5
DePaul,L, 58_51 ,-4.2
Rider,L, 81_73 ,-1.3
Cornell,L, 78_66 ,-7.9
Villanova,L, 97_89 ,-5.1
Minnesota,L, 97_74 ,-8.7
Lehigh,W, 77_66 ,0.1
Siena,L, 92_75 ,-2.8
Princeton,L, 70_62 ,-5.7
Temple,L, 73_46 ,-9.5
Fordham,W, 82_69 ,1.8
Rhode Island,L, 101_74 ,-19.1
St. Bonaventure,L, 68_65 ,0.8
Towson,W, 64_57 ,-0.6
Dayton,W, 60_59 ,3.7
Penn,W, 85_64 ,9.7
Massachusetts,L, 87_80 ,-2.6
Duquesne,L, 74_71 ,-2.1
Richmond,L, 68_58 ,-5.2
St. Bonaventure,W, 78_71 ,1.3
Saint Louis,L, 56_52 ,2.1
Massachusetts,L, 70_62 ,-5.6
Xavier,L, 88_52 ,-13.5
Temple,L, 75_67 OT,-2.6
Charlotte,L, 95_58 ,-19.1
George Washington,W, 80_71 ,4
La Salle,W, 74_59 ,6.3
Rhode Island,L, 87_76 ,-3.7
