Opponent,Results,Score,PlusMinus
Southeast Missouri St.,W, 59_41 ,8.6
Nebraska,W, 69_55 ,6.4
Kennesaw St.,W, 76_66 ,7.6
Mississippi Valley St.,W, 75_39 ,10.1
Iowa St.,L, 65_54 ,-5.4
Notre Dame,L, 64_52 ,-4.9
Georgia,L, 64_56 ,-11.8
Southern Illinois,W, 71_61 ,5.1
Belmont,W, 75_67 ,6
Missouri St.,L, 73_63 ,-5.5
UMKC,W, 61_54 ,0.6
Eastern Illinois,W, 60_42 ,9.5
Bowling Green,L, 59_50 ,-9.8
Richmond,W, 63_58 ,0.7
Duquesne,W, 79_75 2OT,0.4
Charlotte,L, 63_61 OT,-4.1
Fordham,W, 75_48 ,14.3
George Washington,L, 67_62 OT,3.2
Richmond,L, 62_36 ,-13.7
St. Bonaventure,W, 67_65 ,2.2
La Salle,W, 68_65 ,-1.8
Saint Joseph's,W, 56_52 ,-2.1
Dayton,W, 68_65 2OT,-4.4
Rhode Island,W, 62_57 ,-2.4
Massachusetts,W, 69_56 ,5.2
Xavier,L, 73_71 ,0.2
Duquesne,W, 69_59 ,3.5
Temple,L, 57_51 ,0.6
Dayton,W, 71_66 ,8.2
Rhode Island,L, 63_47 ,-7.7
Indiana St.,W, 63_54 ,12.2
Green Bay,W, 68_62 2OT,-1.1
Princeton,W, 69_59 ,5.6
VCU,L, 68_56 ,-6.6
VCU,L, 71_65 ,2.9
