Opponent,Results,Score,PlusMinus
American,W, 65_61 ,-3.3
Notre Dame,L, 95_72 ,-8.6
Lafayette,L, 88_77 ,-5
Bucknell,L, 70_58 ,-8.1
Lehigh,L, 76_67 ,-2.8
Ohio St.,L, 110_47 ,-27
Wagner,W, 69_42 ,3.8
Mount St. Mary's,W, 73_66 ,5.9
Drexel,L, 57_35 ,-14
Youngstown St.,L, 74_65 ,-1.6
Akron,L, 80_51 ,-16.7
Duquesne,L, 86_56 ,-14.8
Hartford,W, 64_52 ,11.2
St. Francis NY,L, 69_57 ,-2.1
LIU Brooklyn,L, 89_80 ,-5.5
Monmouth,L, 63_53 ,-4.3
Fairleigh Dickinson,W, 54_52 ,-1.7
Monmouth,L, 69_40 ,-8.2
Fairleigh Dickinson,L, 78_75 ,2.4
St. Francis NY,W, 71_63 ,9.8
LIU Brooklyn,W, 74_73 OT,-5.2
Robert Morris,L, 76_67 ,0.9
Robert Morris,L, 75_63 ,-8.9
Bryant,W, 60_34 ,10.6
Central Connecticut,W, 59_57 ,7.2
Quinnipiac,W, 73_68 ,-5.3
Sacred Heart,W, 73_68 ,2.1
Mount St. Mary's,L, 67_51 ,-7.5
Wagner,L, 81_76 ,-13.3
Mount St. Mary's,L, 65_50 ,-7
