Opponent,Results,Score,PlusMinus
Bethune Cookman,W, 77_51 ,13.1
Western Michigan,L, 83_67 ,4
Oklahoma,W, 82_69 ,11.6
Hampton,W, 63_52 ,7.5
Nevada,W, 85_76 ,9.2
Rhode Island,W, 82_80 ,0.6
William & Mary,L, 75_74 ,3.9
Richmond,W, 65_57 ,-3.2
Tulane,W, 78_77 ,5
East Carolina,W, 82_74 ,0.2
UNC Wilmington,W, 91_57 ,24.6
Northeastern,L, 62_57 ,1.1
Drexel,L, 75_72 ,-2.3
Delaware,W, 77_64 ,7.9
Hofstra,W, 81_68 ,7.3
Georgia St.,W, 82_69 ,3.7
William & Mary,W, 81_59 ,8.1
Northeastern,L, 74_62 ,-4.5
Towson,W, 112_53 ,20.9
Georgia St.,W, 78_62 ,4.9
UNC Wilmington,W, 73_60 ,6.3
Old Dominion,W, 70_58 ,0.8
George Mason,L, 82_77 OT,4.3
James Madison,L, 76_71 ,-0.3
Drexel,W, 73_54 ,8.6
Akron,W, 70_53 ,7.3
James Madison,W, 76_62 ,7.4
Old Dominion,L, 73_70 ,-0.5
Delaware,W, 66_49 ,11.6
George Mason,W, 75_60 ,1.4
Old Dominion,L, 73_69 OT,2.1
George Washington,W, 79_73 ,6.7
College of Charleston,W, 93_86 ,4.1
Boston University,W, 88_75 ,4.5
Saint Louis,W, 68_56 ,6.6
Saint Louis,W, 71_65 ,-2.9
