Opponent,Results,Score,PlusMinus
Dayton,L, 76_68 ,-2.9
Youngstown St.,W, 91_84 OT,1.3
Cleveland St.,L, 64_51 ,-3.9
Detroit,W, 77_69 ,4.1
Illinois Chicago,W, 54_52 ,-5.5
Temple,L, 82_47 ,-14.4
Minnesota,L, 66_58 ,-1.7
Bethune Cookman,W, 77_66 OT,-5.2
Arkansas Little Rock,W, 75_61 ,8.6
Stetson,W, 72_56 ,11.8
Miami FL,L, 69_61 ,-12.7
Arkansas Pine Bluff,W, 87_60 ,11.5
Oral Roberts,W, 84_80 ,5.8
Kent St.,W, 65_62 ,-0.7
Ohio,L, 79_70 ,-10.5
Buffalo,L, 73_70 ,2.9
Miami OH,L, 84_76 ,-8.1
Bowling Green,W, 63_58 ,3
Northern Illinois,L, 83_74 ,-8.3
Central Michigan,W, 63_43 ,7.6
Eastern Michigan,L, 60_56 ,-4.6
Toledo,W, 59_41 ,13.2
Western Michigan,W, 83_71 ,6.9
Ball St.,W, 75_60 ,7.9
Bowling Green,W, 89_54 ,13.1
Creighton,W, 76_67 ,0.6
Miami OH,W, 72_55 ,2.2
Buffalo,W, 69_60 ,3.3
Ohio,L, 80_55 ,-12.4
Kent St.,L, 79_68 ,0.5
Eastern Michigan,W, 67_53 ,6.5
Miami OH,W, 82_75 2OT,7.2
Western Michigan,W, 79_68 ,10.3
Kent St.,W, 66_65 OT,-1.5
Notre Dame,L, 69_56 ,-7.5
