Opponent,Results,Score,PlusMinus
Mississippi,L, 68_60 ,0.8
Missouri St.,L, 80_71 ,-7.1
Belmont,L, 93_60 ,-20.3
Pacific,L, 77_70 ,-8.1
Pepperdine,L, 69_62 ,2.5
Southeast Missouri St.,W, 56_50 ,5.2
Memphis,L, 78_71 OT,-6.7
Alabama St.,W, 77_53 ,10.1
Georgia,L, 68_59 ,-9.6
Savannah St.,W, 68_55 ,1.2
Missouri St.,L, 77_70 ,-8.9
South Alabama,W, 69_57 ,7.4
Western Kentucky,W, 81_73 ,1.8
FIU,L, 75_70 ,-3.9
Florida Atlantic,L, 61_57 ,-1.3
Louisiana Lafayette,W, 74_65 ,8.3
Middle Tennessee,W, 69_65 ,5.3
Lamar,W, 78_75 ,-5
Denver,L, 74_36 ,-18.8
North Texas,L, 83_64 ,-14.4
Louisiana Monroe,W, 62_61 ,2.5
Arkansas Little Rock,W, 75_64 ,10.4
Savannah St.,L, 67_61 ,-5.1
Denver,W, 60_35 ,14.4
Louisiana Monroe,W, 85_66 ,8.9
Louisiana Lafayette,L, 64_61 ,-5.8
Troy,W, 71_63 ,1.5
North Texas,W, 63_47 ,-1.6
Arkansas Little Rock,W, 71_63 ,-2.9
Arkansas Little Rock,L, 59_52 ,-4.6
