Opponent,Results,Score,PlusMinus
Grambling St.,W, 87_52 ,18
La Salle,W, 74_64 ,3.7
Jackson St.,W, 63_49 ,8.1
Lipscomb,W, 72_60 ,10.5
Prairie View A&M,W, 90_45 ,23.1
Arizona St.,W, 68_54 ,6.9
Bethune Cookman,W, 83_39 ,12.8
Gonzaga,L, 68_64 ,-1.7
San Diego,W, 83_50 ,19
Washington St.,L, 77_71 ,-8
Florida St.,L, 68_61 ,-1.1
Texas Southern,W, 68_60 ,0.1
Morgan St.,W, 89_72 ,2.7
Texas Tech,W, 71_59 ,6.2
Oklahoma,W, 74_61 ,6.8
Iowa St.,L, 72_57 ,-3.4
Kansas,L, 85_65 ,-12.3
Oklahoma St.,W, 76_57 ,4.9
Kansas St.,L, 69_61 ,-7
Colorado,W, 70_66 ,-6
Oklahoma,L, 73_66 ,0.3
Texas A&M,W, 76_74 OT,5.6
Nebraska,W, 74_70 ,2.7
Texas,L, 69_60 ,-9.8
Texas Tech,L, 78_69 ,-1.8
Missouri,L, 77_59 ,-10
Texas A&M,W, 58_51 ,5.2
Oklahoma St.,L, 71_60 ,-1.4
Texas,L, 60_54 ,-0.6
Oklahoma,L, 84_67 ,-11.6
