Opponent,Results,Score,PlusMinus
Virginia Tech,L, 70_60 ,-6.8
East Carolina,L, 76_63 ,-6.2
Middle Tennessee,W, 97_90 ,1.4
Auburn,W, 61_54 ,0.5
Samford,L, 60_56 ,-0.5
Longwood,W, 93_77 ,7.4
Western Carolina,W, 73_50 ,5
USC Upstate,W, 67_60 ,9.4
UNC Wilmington,W, 57_56 ,-4.4
East Tennessee St.,L, 72_59 ,-7.5
Jacksonville,L, 67_65 ,0.7
North Florida,L, 57_55 ,0.9
Kennesaw St.,W, 65_52 ,-0.4
Mercer,W, 80_74 OT,3.4
Belmont,L, 90_55 ,-21.6
Lipscomb,L, 92_81 ,-3.4
Florida Gulf Coast,L, 68_66 ,-0
Stetson,W, 85_55 ,9.7
Longwood,L, 72_62 ,-9.1
North Florida,W, 76_66 ,5.8
Jacksonville,L, 71_58 ,-4.7
Mercer,L, 63_45 ,-7.4
Kennesaw St.,L, 78_64 ,1.6
Lipscomb,L, 81_76 ,-0.1
Belmont,L, 78_57 ,-5.2
Stetson,W, 64_61 ,-0.7
Florida Gulf Coast,L, 47_39 ,-0.2
East Tennessee St.,L, 66_59 ,-3.4
USC Upstate,L, 70_64 ,-4.8
East Tennessee St.,L, 54_53 ,-4.1
