Opponent,Results,Score,PlusMinus
UMKC,L, 73_71 ,2.1
Hawaii,L, 83_69 ,-10
SMU,L, 76_72 ,-1.2
Oklahoma St.,L, 69_57 ,-4.9
Missouri St.,L, 101_61 ,-21
Tennessee Martin,L, 73_64 ,-9.6
Chicago St.,W, 85_73 ,8
Grambling St.,L, 70_60 ,-7.5
Missouri,L, 116_63 ,-26.6
Oklahoma,L, 76_73 ,-3.1
Lamar,L, 99_75 ,-8
Stephen F. Austin,L, 75_63 ,-7.3
Northwestern St.,L, 80_79 OT,-0.5
Nicholls St.,L, 70_51 ,-5.6
Lamar,L, 107_72 ,-8.8
Southeastern Louisiana,W, 62_59 ,4.9
McNeese St.,L, 70_63 ,-7.6
Northwestern St.,L, 85_78 ,-8
UT Arlington,L, 93_70 ,-4.4
Texas St.,L, 85_61 ,-9.1
McNeese St.,L, 81_67 ,-13.3
Sam Houston St.,L, 70_62 ,-7.4
Nicholls St.,L, 70_48 ,-11.9
Southeastern Louisiana,L, 74_63 ,-2.2
UTSA,L, 70_58 ,-7.3
Texas A&M Corpus Chris,L, 76_69 ,0.5
