Opponent,Results,Score,PlusMinus
Tennessee,L, 82_62 ,-14.5
Austin Peay,L, 70_67 ,-2
Kennesaw St.,W, 73_69 ,-3
Marshall,W, 69_68 ,-1.8
Louisville,L, 106_65 ,-11.5
Jackson St.,L, 87_75 ,-0.6
FIU,L, 80_59 ,-10.1
Appalachian St.,W, 81_69 ,2.6
Western Carolina,W, 67_65 ,3
Murray St.,L, 73_65 ,-9.2
Elon,W, 71_65 ,-1.7
Georgia St.,L, 81_76 ,-7.1
Austin Peay,L, 89_57 ,-17.4
UNC Greensboro,W, 70_65 ,5.5
The Citadel,W, 69_68 ,-1.5
Samford,W, 65_60 ,4.5
College of Charleston,W, 91_88 ,0.3
Wofford,L, 88_56 ,-17.6
Furman,L, 85_59 ,-12.7
UNC Greensboro,W, 111_110 2OT,3.4
Elon,W, 85_76 ,5.8
Georgia Southern,W, 75_66 ,6.4
Davidson,L, 73_59 ,-2.7
Western Carolina,L, 69_68 ,-2.7
Appalachian St.,L, 78_68 ,-2.9
Georgia Tech,L, 62_53 ,-6.1
Furman,W, 75_59 ,9.2
Wofford,L, 97_58 ,-16.5
Samford,W, 77_72 OT,1.5
Furman,L, 61_52 ,-7.1
