Opponent,Results,Score,PlusMinus
Maryland,L, 75_74 ,2.3
Holy Cross,W, 93_84 ,10.2
Coastal Carolina,W, 83_67 ,-1.6
Rhode Island,L, 75_66 ,-4.3
Illinois Chicago,W, 78_66 ,8.8
Toledo,W, 64_51 ,9.8
North Carolina,L, 74_69 ,-2.2
Davidson,W, 82_73 ,-0.8
Georgia Southern,W, 92_84 ,14.3
East Tennessee St.,W, 79_59 ,12.2
Charleston Southern,W, 77_69 ,6
Clemson,L, 66_59 ,1.4
Tennessee,W, 91_78 ,11.1
Morehead St.,L, 69_49 ,-9.9
Furman,W, 76_72 ,1.3
Wofford,W, 77_73 ,3.8
The Citadel,W, 87_66 ,10.6
Chattanooga,L, 91_88 ,-0.3
Western Carolina,W, 93_64 ,14.4
Appalachian St.,W, 73_64 ,9.2
Georgia Southern,W, 65_61 ,3.3
Davidson,L, 75_64 ,3.9
Wofford,W, 79_54 ,5.3
Furman,W, 73_54 ,13
Elon,W, 85_67 ,5.8
UNC Greensboro,W, 87_69 ,4.3
The Citadel,W, 85_63 ,14.1
Vermont,W, 85_70 ,19.3
Samford,W, 75_49 ,11.5
Appalachian St.,L, 85_70 ,-3.9
Western Carolina,L, 70_62 ,-6.4
Elon,W, 78_60 ,14
Furman,W, 63_58 ,-1.8
Wofford,L, 77_67 ,0.3
Dayton,W, 94_84 ,7.4
Cleveland St.,W, 64_56 ,3.1
Wichita St.,L, 82_75 ,-7.5
