Opponent,Results,Score,PlusMinus
Albany,W, 65_61 ,-0.6
Seton Hall,L, 92_68 ,-16.2
Delaware,W, 75_61 ,4.5
St. Bonaventure,L, 56_54 ,4.4
Lehigh,L, 60_57 ,-2.3
Boston University,L, 66_61 ,-0.9
Syracuse,L, 78_58 ,-14.9
Minnesota,L, 71_66 ,0.4
Binghamton,L, 69_68 ,6.1
Bucknell,L, 75_64 ,-4.1
New Hampshire,L, 68_66 ,-3.7
Wofford,W, 86_80 ,3.5
Buffalo,L, 78_66 ,-4.9
Stony Brook,W, 60_52 ,4
Columbia,L, 79_75 ,-4.6
Columbia,L, 70_66 ,2.8
Dartmouth,L, 64_57 ,-12.5
Harvard,L, 78_57 ,-9.5
Yale,L, 71_70 ,-0.3
Brown,W, 91_79 ,3.2
Penn,W, 82_71 OT,3.1
Princeton,L, 57_55 ,-1.1
Harvard,L, 73_60 ,-10.8
Dartmouth,W, 96_76 ,8.4
Princeton,L, 84_66 ,-5.9
Penn,W, 74_72 ,5.3
Brown,W, 75_66 ,-1.8
Yale,W, 68_55 ,6
