Opponent,Results,Score,PlusMinus
Alabama St.,W, 71_57 ,5.3
Northern Arizona,W, 74_70 ,4.2
Louisiana Lafayette,W, 63_58 ,5.7
Iowa St.,L, 91_88 ,2.9
Kennesaw St.,W, 75_57 ,8.5
Northwestern,L, 65_52 ,-7
BYU,L, 77_65 ,-6.2
Nebraska,L, 59_54 ,-0.2
Saint Joseph's,W, 82_75 ,0.5
Idaho St.,W, 66_60 ,7.3
Western Illinois,W, 60_47 ,7.2
Samford,W, 58_40 ,3.8
Illinois St.,W, 64_53 ,3.9
Drake,W, 73_57 ,4.7
Missouri St.,L, 67_55 ,-0.4
Southern Illinois,W, 72_66 OT,-2.4
Evansville,W, 74_69 ,3.5
Wichita St.,L, 68_54 ,-0.6
Indiana St.,L, 61_59 ,1.4
Bradley,W, 81_68 ,13.7
Missouri St.,L, 67_66 ,7.4
Northern Iowa,L, 71_66 ,-4
Indiana St.,W, 83_69 ,9.4
Bradley,L, 69_61 ,-2.9
Evansville,W, 75_69 ,3.5
Drake,L, 67_64 ,-3.7
Southern Illinois,W, 69_50 ,11.3
Illinois St.,W, 75_59 ,5.1
Akron,L, 76_67 ,-0.6
Wichita St.,L, 67_65 ,-0.7
Northern Iowa,W, 63_55 ,5.3
Northern Iowa,W, 60_57 ,5.4
Missouri St.,L, 60_50 ,1.3
San Jose St.,W, 85_74 ,2.7
Davidson,W, 102_92 ,-0.3
UCF,W, 82_64 ,15.5
Oregon,W, 84_76 ,6.7
Oregon,L, 71_58 ,-9.7
Oregon,L, 71_69 ,-1.9
