Opponent,Results,Score,PlusMinus
Indiana,L, 88_60 ,-13.1
Southeast Missouri St.,W, 89_78 ,0.8
Grambling St.,W, 74_70 ,-
Arkansas,L, 90_47 ,-19.2
Miami FL,L, 87_75 ,-8.9
North Florida,L, 81_74 ,-7.3
Jacksonville,L, 71_56 ,-7.2
Ohio St.,L, 83_55 ,-16.6
Toledo,L, 75_63 ,4.3
North Carolina Central,W, 87_68 ,7.6
IUPUI,L, 76_63 ,-7.3
Belmont,L, 83_51 ,-6.6
Lipscomb,L, 75_61 ,-6.7
East Tennessee St.,L, 84_65 ,-10.5
Kennesaw St.,L, 81_70 ,-2.5
Mercer,L, 50_47 ,5
Campbell,W, 68_66 ,0
Stetson,W, 111_103 3OT,3.6
Belmont,L, 89_56 ,-13.6
Lipscomb,L, 88_71 ,-4.9
East Tennessee St.,L, 66_59 ,-7.8
USC Upstate,W, 70_38 ,10
Kennesaw St.,L, 69_68 ,1.1
Mercer,L, 74_61 ,-8.5
Western Kentucky,L, 80_70 ,-8
Campbell,W, 47_39 ,0.2
Stetson,W, 64_60 ,2.2
Jacksonville,W, 56_55 ,2
North Florida,L, 53_51 ,1.7
USC Upstate,W, 81_65 ,7.5
