Opponent,Results,Score,PlusMinus
James Madison,W, 75_61 ,8.6
Virginia Tech,W, 73_57 ,3.1
Presbyterian,W, 76_67 ,7.2
Gonzaga,W, 81_64 ,9.9
Duke,L, 82_68 ,-8.4
Texas Southern,W, 84_60 ,18.3
Washington St.,W, 63_58 ,4.5
Alcorn St.,W, 89_55 ,13.3
Loyola Chicago,W, 68_60 ,6.9
Florida,L, 57_44 ,-0.5
UNLV,L, 63_59 ,-2.8
UMKC,W, 80_64 ,12.6
North Florida,W, 100_76 ,14.1
Savannah St.,W, 92_61 ,9.4
Oklahoma St.,L, 76_62 ,1
Colorado,L, 74_66 ,0.4
Texas Tech,W, 94_60 ,19.4
Missouri,L, 75_59 ,-6.4
Texas A&M,L, 64_56 ,-1.5
Baylor,W, 69_61 ,7
Kansas,L, 90_66 ,-15
Nebraska,W, 69_53 ,10.5
Iowa St.,W, 86_85 ,1.1
Colorado,L, 58_56 ,0.8
Kansas,W, 84_68 ,8.7
Oklahoma,W, 77_62 ,7.2
Nebraska,W, 61_57 ,2.4
Missouri,W, 80_70 ,5
Texas,W, 75_70 ,1.3
Iowa St.,W, 67_55 ,4.8
Colorado,L, 87_75 ,0.7
Utah St.,W, 73_68 ,7
Wisconsin,L, 70_65 ,0.4
