Opponent,Results,Score,PlusMinus
New Mexico St.,L, 92_76 ,-8
Creighton,L, 63_58 ,-5.7
Cleveland St.,L, 60_55 ,-7.3
Houston,L, 78_65 ,4.8
McNeese St.,L, 69_66 ,8.1
Tulane,L, 63_52 ,-3.2
UCF,L, 79_58 ,-11.1
Lamar,W, 68_65 ,-0.3
New Mexico St.,L, 82_76 ,-3.4
Denver,L, 65_52 ,-7.1
North Texas,L, 80_63 ,-8.6
Troy,W, 93_91 ,2.5
Middle Tennessee,L, 93_91 OT,-8.1
Arkansas St.,L, 74_65 ,-8.3
Arkansas Little Rock,L, 73_68 ,0.9
Centenary,W, 94_62 ,9.6
Louisiana Monroe,W, 84_75 ,-0.9
North Texas,W, 93_88 ,5.9
South Alabama,W, 76_70 OT,-1.1
Arkansas Little Rock,W, 67_66 ,0.3
FIU,W, 72_68 ,2.7
Florida Atlantic,W, 72_64 ,2.8
Arkansas St.,W, 64_61 ,5.8
Western Kentucky,W, 67_64 ,8.6
Denver,W, 58_52 OT,0.2
Louisiana Monroe,W, 61_46 ,9.7
Western Kentucky,L, 81_76 ,2.1
