Opponent,Results,Score,PlusMinus
Texas Tech,L, 86_67 ,-1.4
Iowa,L, 68_40 ,-10.8
Stephen F. Austin,L, 65_64 ,0
Jacksonville St.,W, 57_50 ,4.8
Illinois St.,L, 59_55 ,-7.7
South Dakota,L, 79_66 ,-10.9
Kent St.,L, 69_53 ,-6.6
Louisiana Tech,L, 67_58 ,-10.7
Centenary,W, 60_46 ,4.1
UTEP,L, 79_49 ,-15
Florida Atlantic,L, 60_58 ,-6.8
Northern Colorado,W, 78_75 ,6.1
Stephen F. Austin,L, 60_36 ,-14.6
FIU,L, 73_72 ,7.6
Denver,L, 66_57 ,0.2
Arkansas Little Rock,L, 81_50 ,-13
South Alabama,W, 67_65 ,1.4
North Texas,L, 79_62 ,-6.7
Louisiana Lafayette,L, 84_75 ,0.9
Arkansas St.,L, 62_61 ,-2.5
Troy,L, 74_68 ,-2.4
Middle Tennessee,L, 60_54 ,0
Western Kentucky,L, 81_61 ,-11.2
Arkansas St.,L, 85_66 ,-8.9
Arkansas Little Rock,L, 61_53 ,-10.5
Denver,L, 65_37 ,-13.8
North Texas,W, 82_75 ,-0.2
Louisiana Lafayette,L, 61_46 ,-9.7
Western Kentucky,L, 66_50 ,-3
