Opponent,Results,Score,PlusMinus
USC Upstate,W, 66_35 ,14.8
Bowling Green,W, 69_50 ,8.4
Gardner Webb,W, 80_58 ,13.6
Syracuse,L, 53_50 ,-0.9
UTEP,L, 65_56 ,-5.7
Clemson,W, 69_61 ,10.8
Harvard,W, 65_62 ,-0.6
Utah,W, 75_64 ,12.2
North Carolina Central,W, 64_44 ,5.8
Oakland,W, 69_51 ,9.3
Bryant,W, 87_71 ,8.3
Purdue,L, 80_57 ,-8
Penn St.,W, 76_69 ,-1.2
Wisconsin,L, 66_50 ,-1.3
Kansas,L, 67_60 OT,-7.5
Ohio St.,L, 68_64 ,-2.7
Indiana,L, 80_61 ,-10.7
Northwestern,L, 74_60 ,-12.1
Minnesota,L, 69_64 ,-1.3
Michigan St.,W, 61_57 ,5.2
Iowa,W, 87_73 ,5.4
Ohio St.,L, 62_53 ,-2.3
Penn St.,W, 65_62 ,-4
Northwestern,W, 75_66 ,7.2
Indiana,W, 73_69 ,11
Illinois,L, 54_52 ,-3.9
Iowa,W, 75_72 OT,0
Wisconsin,L, 53_52 ,0.8
Minnesota,W, 70_63 ,2.8
Michigan St.,W, 70_63 ,7.3
Illinois,W, 60_55 ,-3.6
Ohio St.,L, 68_61 ,-4.7
Tennessee,W, 75_45 ,5.7
Duke,L, 73_71 ,-5.1
