Opponent,Results,Score,PlusMinus
Texas,L, 83_52 ,-8.9
Buffalo,L, 88_46 ,-17.2
UC Irvine,L, 75_60 ,-11
Louisiana Tech,L, 80_65 ,-7.8
Seattle,L, 75_70 ,-2.4
Towson,W, 89_84 ,10.5
Maryland Eastern Shore,L, 89_81 OT,-1.7
Mount St. Mary's,W, 81_68 ,8.3
George Washington,W, 64_57 ,4.3
Coppin St.,L, 65_64 ,0.9
Mercer,L, 73_68 ,1.3
Elon,L, 73_58 ,-4.6
LIU Brooklyn,L, 96_86 ,-8.5
Presbyterian,L, 60_58 ,-3.7
Longwood,W, 87_70 ,-2.3
Bucknell,L, 71_64 ,-0.6
Lehigh,L, 71_63 ,-1
Lafayette,L, 76_73 ,-3.5
Holy Cross,L, 71_50 ,-10
Army,W, 85_81 ,1
American,W, 72_53 ,6.8
Colgate,W, 81_78 2OT,0.4
Bucknell,L, 75_49 ,-14.8
Lehigh,L, 87_72 ,-7.2
Lafayette,W, 57_52 ,8.1
Holy Cross,L, 72_61 ,-2.7
Army,W, 75_58 ,3.2
American,L, 69_58 ,-7.7
Colgate,W, 75_55 ,10.5
Lehigh,L, 87_75 ,-8
