Opponent,Results,Score,PlusMinus
South Dakota,W, 76_68 ,6.4
Arkansas Pine Bluff,W, 83_40 ,12.6
Vanderbilt,L, 59_49 ,0.4
Davidson,L, 70_67 ,0.7
Hofstra,W, 62_47 ,8.8
USC,W, 60_58 ,-7.2
Jackson St.,W, 76_57 ,7.6
Creighton,W, 59_54 ,0.2
Alcorn St.,W, 78_57 ,16.7
TCU,W, 70_56 ,5.8
Eastern Washington,W, 72_42 ,10.8
Grambling St.,W, 79_39 ,15.1
North Dakota,W, 77_46 ,11.6
Savannah St.,W, 68_48 ,6.3
Iowa St.,W, 63_62 ,4.1
Missouri,L, 77_69 ,-8
Kansas,L, 63_60 ,1.5
Colorado,W, 79_67 ,6
Texas Tech,L, 72_71 ,-1.5
Texas A&M,W, 57_48 ,-1.8
Kansas St.,L, 69_53 ,-10.5
Kansas,L, 86_66 ,-7.4
Baylor,L, 74_70 ,-2.7
Oklahoma St.,W, 65_54 ,5.6
Oklahoma,W, 59_58 ,0.3
Texas,W, 70_67 ,-0.2
Kansas St.,L, 61_57 ,-2.4
Iowa St.,L, 83_82 OT,-2.7
Missouri,W, 69_58 ,2.2
Colorado,L, 67_57 ,-6.1
Oklahoma St.,L, 53_52 ,-5.3
Wichita St.,L, 76_49 ,-16.9
