Opponent,Results,Score,PlusMinus
The Citadel,W, 79_37 ,20.7
William & Mary,W, 73_49 ,8.4
Iona,L, 81_77 2OT,-1.4
Charleston Southern,W, 82_71 ,7.4
Southern,W, 81_40 ,20.4
Wright St.,W, 71_61 ,0.2
Purdue,W, 65_54 ,7.3
Old Dominion,L, 77_70 ,1.1
Arizona St.,W, 67_61 ,3.1
VCU,W, 72_60 ,15.6
Georgia Tech,L, 67_54 ,-2.8
UNC Greensboro,W, 63_53 ,4.3
Seton Hall,W, 69_61 ,-1.7
Wake Forest,W, 90_74 ,5.4
Bucknell,L, 62_61 ,-1.4
Charlotte,W, 71_59 ,3.6
La Salle,W, 87_68 ,3.8
Rhode Island,L, 78_74 ,-0.1
George Washington,W, 68_58 ,-0.3
Massachusetts,W, 84_68 ,9.2
Dayton,W, 70_61 ,4.7
Xavier,L, 85_62 ,-4.9
Saint Joseph's,W, 62_52 ,6.4
Fordham,W, 77_60 ,13.4
George Washington,W, 69_65 ,-0.1
Saint Louis,W, 64_52 ,4.8
Temple,L, 73_53 ,-9.1
St. Bonaventure,W, 82_65 ,6.7
Charlotte,W, 72_59 ,6.1
Saint Joseph's,W, 69_54 ,3.6
Duquesne,W, 68_56 ,5.5
Rhode Island,W, 55_45 ,2.8
Temple,W, 58_54 ,-1.4
Dayton,W, 67_54 ,7.8
Vanderbilt,W, 69_66 ,-2.8
Morehead St.,W, 65_48 ,7
Kansas,L, 77_57 ,-14.7
