Opponent,Results,Score,PlusMinus
Saint Peter's,W, 55_30 ,9.7
Kent St.,L, 62_59 ,3.3
Duquesne,W, 69_63 ,-3.5
Pittsburgh,L, 74_53 ,-8
Cleveland St.,L, 58_53 ,-10.7
LIU Brooklyn,W, 70_69 ,4.9
St. Francis NY,L, 65_63 ,-0.2
West Virginia,L, 82_49 ,-5.5
Youngstown St.,W, 90_60 ,16.1
Appalachian St.,L, 71_66 ,-6
Arizona,L, 82_56 ,-11.4
Morgan St.,L, 67_66 ,-5.2
Ohio,W, 79_76 OT,-4.4
Wagner,L, 83_78 OT,-1.9
Mount St. Mary's,W, 51_48 ,5.1
Fairleigh Dickinson,W, 83_65 ,12
Monmouth,W, 60_57 ,-1.1
LIU Brooklyn,L, 83_67 ,-2.2
St. Francis NY,W, 54_51 ,-0.1
Quinnipiac,L, 69_61 ,-6.9
Sacred Heart,L, 84_75 ,-4.1
Bryant,W, 91_38 ,17.9
Central Connecticut,L, 80_58 ,-5.7
St. Francis PA,W, 78_68 ,5.4
St. Francis PA,W, 78_73 ,4.2
Fairleigh Dickinson,W, 74_50 ,8.2
Monmouth,W, 62_60 ,2.5
Mount St. Mary's,W, 65_57 ,2.7
Wagner,W, 66_49 ,8.6
Wagner,W, 78_74 ,6.9
Quinnipiac,W, 64_62 ,0
LIU Brooklyn,L, 85_82 OT,-1.2
