Opponent,Results,Score,PlusMinus
Cal St. Bakersfield,L, 80_78 OT,4.7
North Dakota,L, 64_60 ,-4.9
UC Davis,L, 61_54 ,-5.1
Cal Poly,W, 71_67 ,0.6
Washington St.,L, 84_36 ,-26.4
Utah Valley,L, 77_52 ,-14.3
Loyola Marymount,L, 69_49 ,-8.9
McNeese St.,L, 65_63 OT,4.5
Oklahoma,L, 66_53 ,-8.4
Eastern Washington,L, 88_79 OT,-4.6
Idaho St.,L, 68_63 OT,-2.3
Montana St.,L, 61_59 ,2.7
Montana,L, 68_52 ,-4.2
Weber St.,L, 84_71 ,-10.4
Northern Arizona,L, 79_58 ,-9.8
Northern Colorado,L, 77_72 ,-7.1
Eastern Washington,W, 57_55 ,1.5
Idaho St.,W, 74_63 ,10.8
Portland St.,L, 86_80 ,-10.7
Portland St.,W, 63_55 ,2.4
Montana,L, 64_44 ,-11
Montana St.,W, 74_71 ,5.5
Southeast Missouri St.,L, 67_52 ,-2.6
Northern Arizona,L, 63_42 ,-6.6
Weber St.,L, 73_70 ,-4.7
Northern Colorado,L, 84_54 ,-11.8
