Opponent,Results,Score,PlusMinus
Fairfield,L, 62_45 ,-9.5
Fordham,L, 69_51 ,-5.8
Massachusetts,L, 73_65 ,-4.5
Brown,L, 81_67 ,-7.3
New Hampshire,W, 50_42 ,7
Mount St. Mary's,L, 66_52 ,-2.9
Wagner,L, 73_68 OT,-1.6
Lafayette,L, 76_71 ,-5.5
Hartford,W, 56_55 ,-9.1
Stony Brook,W, 75_66 ,1.3
Yale,W, 71_62 ,9.1
Providence,L, 84_76 ,-4.5
Holy Cross,W, 77_75 ,1.1
Fairleigh Dickinson,W, 67_50 ,-2.5
Monmouth,W, 80_65 ,0.1
Central Connecticut,L, 88_75 ,-4.3
Bryant,L, 72_59 ,-9.2
Mount St. Mary's,L, 61_45 ,-8.9
Wagner,W, 79_76 ,5.6
St. Francis PA,L, 88_86 OT,-0.5
Robert Morris,W, 84_75 ,4.1
LIU Brooklyn,L, 81_69 ,-3.7
St. Francis NY,L, 78_51 ,-12.2
Quinnipiac,L, 59_54 ,2.4
Quinnipiac,L, 55_48 ,-3.7
Central Connecticut,L, 57_56 ,-2.8
Bryant,W, 83_77 ,-1.2
Fairleigh Dickinson,L, 85_74 ,-5.8
Monmouth,W, 88_66 ,15.4
