Opponent,Results,Score,PlusMinus
Stanford,L, 64_48 ,-10.4
Boise St.,L, 65_60 ,1.2
Cal St. Fullerton,L, 62_59 ,-5.3
New Mexico,L, 75_46 ,-9.9
UC Irvine,L, 90_82 ,-5.8
Cal St. Fullerton,L, 90_76 ,-4.1
Fresno St.,L, 74_70 ,-1.3
San Diego St.,L, 77_49 ,-5.3
Baylor,L, 83_50 ,-19
Mississippi St.,L, 69_52 ,-12.2
Utah,W, 67_64 ,4.1
North Carolina St.,L, 76_54 ,-15.6
Pepperdine,L, 75_55 ,-1.7
Loyola Marymount,L, 67_58 ,-2.7
Santa Clara,L, 61_52 ,0
San Francisco,L, 65_55 ,-1.7
Saint Mary's,L, 67_56 ,-7.9
Cal St. Bakersfield,W, 76_65 ,9.8
Portland,L, 79_64 ,-9.9
Gonzaga,L, 86_53 ,-11.4
Loyola Marymount,W, 66_63 ,1.2
Pepperdine,L, 70_63 OT,-0
San Francisco,L, 61_47 ,-9
Santa Clara,L, 60_56 ,7.9
Saint Mary's,W, 74_66 ,0.2
Portland,L, 65_61 ,0.6
Gonzaga,L, 68_31 ,-14.3
Pepperdine,L, 84_81 ,-5.3
