Opponent,Results,Score,PlusMinus
Appalachian St.,L, 89_86 ,-2.7
Oral Roberts,W, 83_68 ,0.3
Missouri St.,W, 62_50 ,6.1
UNLV,L, 80_71 ,-7
Stanford,W, 65_53 ,6.5
Cal St. Northridge,W, 80_63 ,9.8
Arkansas Little Rock,L, 69_67 ,1.5
Oklahoma St.,L, 71_54 ,-8.2
Princeton,L, 82_78 2OT,0.2
Weber St.,W, 81_79 OT,-2.5
Wichita St.,L, 82_79 ,-1.3
UTSA,W, 92_67 ,11.9
TCU,W, 69_66 ,4
UTEP,L, 69_59 ,0.5
Rice,W, 75_64 ,12.8
Arizona St.,L, 69_59 ,-13.9
UAB,W, 78_62 ,6.9
Houston,L, 64_57 ,1.4
Tulane,W, 65_61 ,4
SMU,L, 59_58 ,3.5
UTEP,W, 69_68 ,1.6
Memphis,W, 68_65 ,-1.8
Houston,W, 76_71 OT,4.5
UCF,L, 58_57 ,-0.7
East Carolina,W, 86_67 ,7.5
SMU,W, 74_66 ,4.1
Marshall,L, 79_61 ,-15.1
Tulane,W, 66_59 ,3.4
Rice,W, 67_57 ,2.2
Southern Miss,W, 78_70 ,-0.4
Rice,W, 81_72 ,6.5
UTEP,L, 66_54 ,-1.8
