Opponent,Results,Score,PlusMinus
Auburn,W, 70_69 OT,-6.7
Furman,L, 69_67 ,-6.2
North Carolina,L, 80_69 ,-9.1
Georgetown,L, 87_72 ,-
USC Upstate,L, 93_91 2OT,-3.8
Radford,W, 70_50 ,7.4
High Point,L, 76_73 ,-0.9
Ohio St.,L, 96_49 ,-16.9
Western Carolina,W, 85_79 OT,0.7
VMI,L, 83_72 ,-1.5
Liberty,L, 59_55 ,-1.4
Winthrop,W, 88_67 ,8.6
Presbyterian,W, 74_48 ,5.8
Gardner Webb,W, 68_59 ,3.4
Coastal Carolina,L, 80_59 ,-4.9
Charleston Southern,W, 77_69 ,6.3
Liberty,L, 83_81 OT,-5.3
VMI,W, 100_87 ,2.2
Presbyterian,W, 88_55 ,24.9
Winthrop,L, 57_53 ,-
Gardner Webb,W, 57_54 ,0.6
Charleston Southern,L, 79_70 ,0.1
Northeastern,L, 83_82 ,8.8
Coastal Carolina,W, 61_58 ,2.2
High Point,W, 76_62 ,0.8
Radford,W, 81_58 ,15.7
Charleston Southern,W, 72_63 ,0.8
High Point,W, 62_45 ,3
Coastal Carolina,W, 60_47 ,5.1
Arkansas Little Rock,W, 81_77 OT,-4.9
Pittsburgh,L, 74_51 ,-7.7
