Opponent,Results,Score,PlusMinus
Florida,L, 77_60 ,-7.7
Liberty,W, 69_64 OT,5.3
Morehead St.,W, 60_58 ,-1.1
Ohio St.,L, 81_41 ,-22.8
North Carolina A&T,L, 84_79 OT,-2.9
George Washington,W, 73_69 ,-0.3
George Mason,L, 80_52 ,-15
Wake Forest,W, 81_69 ,8.2
Radford,W, 64_50 ,4.8
Illinois St.,L, 62_60 OT,-3.8
Campbell,L, 57_56 ,4.4
Toledo,W, 64_42 ,13.2
William & Mary,W, 61_59 ,4.7
Georgia St.,W, 59_56 ,3.9
VCU,L, 82_64 ,-7.4
Delaware,W, 76_53 ,11.8
James Madison,L, 63_54 ,-6.2
Hofstra,L, 66_57 ,-4
Towson,W, 66_60 ,2.4
Old Dominion,L, 58_43 ,-11.9
Northeastern,L, 70_66 ,-6.3
VCU,L, 79_70 ,-9.7
Georgia St.,L, 63_58 OT,-4.8
William & Mary,W, 91_81 ,5.8
George Mason,L, 78_63 ,-6.1
Towson,W, 95_93 OT,-9.1
Drexel,W, 51_43 ,0.6
Charleston Southern,L, 63_58 ,0.5
Hofstra,L, 71_64 ,-0.9
Northeastern,L, 78_68 ,-8.2
Georgia St.,L, 58_52 ,-1.6
