Opponent,Results,Score,PlusMinus
Michigan,L, 66_35 ,-14.8
Virginia,L, 74_54 ,-2.9
Wofford,L, 79_61 ,-19.6
Coastal Carolina,L, 71_50 ,-5.5
East Carolina,L, 75_67 ,-3
South Carolina,L, 57_41 ,-4.8
UNC Asheville,W, 93_91 2OT,3.8
East Tennessee St.,W, 60_59 ,2.9
North Carolina St.,L, 79_60 ,-9.9
Campbell,L, 67_60 ,-9.4
Auburn,L, 68_54 ,-4.3
Virginia Tech,L, 64_53 ,-4.1
Kennesaw St.,L, 78_71 ,-3.2
Mercer,L, 70_59 ,-9
Stetson,L, 74_71 ,-2.9
Jacksonville,L, 57_47 OT,0.4
North Florida,L, 65_59 ,-3.1
Belmont,L, 67_62 ,-6.8
Lipscomb,L, 76_55 ,-16.7
East Tennessee St.,L, 67_52 ,-4.8
Mercer,L, 65_53 ,0.3
Kennesaw St.,W, 59_54 ,2.8
Stetson,W, 72_59 ,6.5
Florida Gulf Coast,L, 70_38 ,-10
North Florida,L, 63_55 ,-5.3
Jacksonville,L, 79_69 ,-9.8
Lipscomb,L, 71_52 ,-6.8
Belmont,L, 81_49 ,-4.3
Campbell,W, 70_64 ,4.8
Florida Gulf Coast,L, 81_65 ,-7.5
