Opponent,Results,Score,PlusMinus
Montana,W, 80_71 ,7.9
Weber St.,W, 90_75 ,9.6
Utah St.,L, 79_62 ,-7.3
Oral Roberts,L, 78_70 ,-5.6
Fresno St.,W, 76_63 ,9.7
Bradley,W, 68_60 ,7.9
Pepperdine,W, 67_60 ,1.6
Michigan,L, 75_64 ,-12.2
Boise St.,W, 86_84 ,-5
Butler,L, 74_62 ,-7.9
San Diego,L, 67_64 ,-4.1
Portland,L, 88_79 ,-0.2
Air Force,L, 77_69 ,-0.9
San Diego St.,L, 71_62 ,-2.9
BYU,L, 104_79 ,-6.3
Wyoming,W, 68_51 ,11.5
New Mexico,W, 82_72 ,11.1
TCU,W, 75_62 ,5.7
Colorado St.,L, 74_68 ,-4
UNLV,L, 67_54 ,-9.1
Air Force,L, 54_49 ,-5.5
San Diego St.,L, 85_53 ,-18.1
BYU,L, 72_59 ,-3.6
Wyoming,W, 80_70 ,1.8
New Mexico,W, 62_60 ,-3
TCU,W, 50_48 ,1.4
Colorado St.,L, 78_65 ,-6.4
UNLV,L, 78_58 ,-16.8
San Diego St.,L, 64_50 ,-9.2
