Opponent,Results,Score,PlusMinus
William & Mary,W, 76_52 ,5.1
USC Upstate,W, 74_54 ,2.9
Stanford,L, 81_60 ,-3.3
Washington,L, 106_63 ,-17.2
Oklahoma,W, 74_56 ,14.5
Wichita St.,L, 70_58 ,-0.2
Minnesota,W, 87_79 ,-2.7
Virginia Tech,W, 57_54 ,7.4
Radford,W, 54_44 ,7.5
Oregon,W, 63_48 ,2.1
Norfolk St.,W, 50_49 ,1.4
Seattle,L, 59_53 ,-8.2
Iowa St.,L, 60_47 ,-11.5
LSU,W, 64_50 ,5.3
Howard,W, 84_63 ,8.7
North Carolina,L, 62_56 ,1.5
Duke,L, 76_60 ,0.6
Boston College,L, 70_67 ,-2.2
Georgia Tech,W, 72_64 ,9.8
Maryland,L, 66_42 ,-4.4
Wake Forest,L, 76_71 ,0.5
Clemson,W, 49_47 ,9.3
Miami FL,L, 70_68 OT,2.2
Florida St.,L, 63_56 ,-5.7
Duke,L, 56_41 ,-7.1
Virginia Tech,W, 61_54 ,4.4
Georgia Tech,W, 62_56 ,-2.1
Boston College,L, 63_44 ,-2.2
North Carolina St.,W, 69_58 ,7.1
Maryland,W, 74_60 ,4.6
Miami FL,L, 69_62 OT,-0.5
