Opponent,Results,Score,PlusMinus
Tulane,L, 72_63 ,-10.2
Alabama,L, 82_45 ,-21.9
South Alabama,L, 67_44 ,-10.3
Michigan,L, 87_57 ,-14.2
Georgia Tech,L, 65_54 ,-4.5
Tennessee St.,L, 78_68 ,-7.7
UAB,L, 92_58 ,-15.2
Jackson St.,L, 55_52 ,-1.3
Grambling St.,L, 60_55 ,-5.1
Arkansas Pine Bluff,W, 65_62 ,6.3
Mississippi Valley St.,L, 81_69 ,-5.1
Alabama St.,L, 53_50 ,-1.2
Southern,L, 75_69 OT,0
Alcorn St.,W, 65_64 ,-4.1
Texas Southern,L, 73_61 ,-3.9
Prairie View A&M,W, 64_54 ,-3.2
Arkansas Pine Bluff,L, 81_75 ,-6.1
Mississippi Valley St.,L, 78_64 ,-1.9
Alabama St.,L, 57_47 ,0.7
Southern,L, 72_65 ,-
Alcorn St.,W, 81_71 ,0.8
Prairie View A&M,L, 60_52 ,7.5
Texas Southern,L, 69_59 ,-4.9
Jackson St.,W, 73_53 ,11.1
Grambling St.,L, 75_72 OT,-
Texas Southern,L, 75_62 ,-4.9
