Opponent,Results,Score,PlusMinus
USC,L, 66_59 ,-5.3
Hawaii,L, 86_67 ,-
Boise St.,L, 103_61 ,-16
Drake,L, 73_49 ,-12.2
Cal St. Bakersfield,L, 74_67 ,-6.8
Santa Clara,L, 71_58 ,-4.5
Pepperdine,W, 73_70 ,-1.1
Washington,L, 74_51 ,-17
UC Irvine,L, 71_62 ,-11.6
UC Riverside,W, 63_52 ,12.6
Long Beach St.,L, 81_68 ,-8.5
Pacific,L, 79_59 ,-8.4
UC Davis,W, 84_80 ,-4.6
UC Santa Barbara,L, 69_61 ,-6.6
Cal Poly,L, 100_54 ,-22.2
Cal St. Fullerton,L, 70_68 ,-0.4
Cal St. Bakersfield,W, 76_68 ,6.3
UC Santa Barbara,L, 85_70 ,-6
Long Beach St.,L, 75_67 ,-4
UC Davis,L, 79_71 ,-0.1
Pacific,L, 62_61 ,4
Cal Poly,W, 94_81 ,2.8
Fresno St.,L, 62_49 ,-
UC Riverside,L, 63_61 ,-1.4
UC Irvine,L, 94_85 OT,0.8
Cal St. Fullerton,L, 87_76 ,-3
