Opponent,Results,Score,PlusMinus
Columbia,W, 70_57 ,10.7
Wagner,W, 78_66 ,9.5
Maine,W, 80_60 ,9
Coppin St.,W, 87_70 ,5.2
UNC Asheville,W, 73_63 ,10.6
UCF,L, 68_63 ,5.2
Florida St.,W, 78_76 OT,3.6
Arkansas,W, 75_62 ,7.5
Harvard,W, 67_53 ,5.7
Holy Cross,W, 77_40 ,11.7
Fairfield,W, 79_71 ,10.2
South Florida,W, 60_57 ,0
St. John's,W, 83_69 ,11.2
Seton Hall,L, 75_63 ,-6.5
Rutgers,L, 67_60 ,-0.5
West Virginia,W, 64_57 ,-1.6
Notre Dame,W, 67_53 ,2.7
Cincinnati,L, 70_67 ,-3.8
Tennessee,L, 60_57 ,-2.1
Notre Dame,L, 50_48 ,-2.7
Georgetown,L, 58_44 ,-4.9
Seton Hall,W, 69_46 ,10.3
Louisville,L, 80_59 ,-6
Syracuse,L, 85_67 ,-5
DePaul,W, 80_54 ,12.2
Marquette,L, 79_64 ,-7.3
Villanova,W, 73_70 OT,-2.8
Syracuse,L, 71_69 ,-7.7
Providence,L, 72_70 ,2.8
Pittsburgh,W, 74_65 ,6.2
DePaul,W, 81_67 ,10.2
West Virginia,W, 71_67 OT,-2.2
Syracuse,L, 58_55 ,-0.9
Iowa St.,L, 77_64 ,-10.5
