Opponent,Results,Score,PlusMinus
Notre Dame,L, 59_53 ,0.7
George Washington,L, 86_73 ,-13.5
Bowling Green,L, 67_61 ,-2.7
Austin Peay,W, 94_93 OT,8.5
Akron,L, 81_63 ,-7.1
Youngstown St.,L, 64_61 ,-1.9
Cleveland St.,L, 66_61 ,-5.1
St. John's,W, 69_63 ,5.3
Western Michigan,W, 92_81 ,-
Alabama,L, 62_54 ,-12.7
Mississippi St.,L, 80_75 ,-4.9
Alabama St.,W, 80_56 ,4
Illinois Chicago,L, 63_59 ,-3.8
Loyola Chicago,W, 65_54 ,1.6
Valparaiso,L, 73_71 ,0.8
Butler,W, 76_65 ,12.5
Green Bay,W, 80_73 ,0.1
Milwaukee,L, 84_74 ,-13.5
Wright St.,W, 69_53 ,9.5
Loyola Chicago,W, 67_52 ,9.8
Illinois Chicago,W, 70_66 ,6.4
Valparaiso,L, 78_73 ,2.7
Butler,W, 65_61 ,1.3
Milwaukee,W, 58_57 ,-4.7
Green Bay,W, 77_74 ,-2.4
Wright St.,W, 71_55 ,6.6
James Madison,W, 82_70 ,5.7
Cleveland St.,L, 77_64 ,2.8
Youngstown St.,W, 76_74 ,2.1
Loyola Chicago,W, 80_71 ,6.3
Youngstown St.,W, 93_76 ,14.3
Cleveland St.,W, 63_58 ,2.6
Valparaiso,W, 70_50 ,-0.1
Kansas,L, 65_50 ,-8.9
