Opponent,Results,Score,PlusMinus
Jacksonville,W, 79_67 ,12.4
UCF,W, 73_50 ,8.8
Stetson,W, 79_66 ,10.2
South Alabama,W, 80_39 ,17.8
Massachusetts,W, 73_53 ,8.8
Harvard,L, 46_41 ,-2.4
Connecticut,L, 78_76 OT,-3.6
Michigan St.,L, 65_49 ,-3.8
Charleston Southern,W, 76_51 ,18.5
UNC Greensboro,W, 75_60 ,4.3
Loyola Marymount,W, 77_61 ,12
Florida,L, 82_64 ,-7.7
Princeton,L, 75_73 3OT,-6.3
Auburn,W, 85_56 ,21.4
Clemson,L, 79_59 ,-14.2
Virginia Tech,W, 63_59 ,5.6
North Carolina,W, 90_57 ,12.3
Maryland,W, 84_70 ,6.9
Duke,W, 76_73 ,-2.8
Wake Forest,W, 75_52 ,5.5
Georgia Tech,W, 68_54 ,5.4
Virginia,W, 58_55 ,3.7
Boston College,L, 64_60 ,-0.4
Miami FL,W, 64_59 ,2.3
Virginia Tech,W, 48_47 ,-3.2
North Carolina St.,W, 76_62 ,9.6
Duke,L, 74_66 ,-5.7
Miami FL,L, 78_62 ,-4.2
Virginia,W, 63_60 ,1.1
Clemson,W, 80_72 ,8.4
Miami FL,W, 82_71 ,5.1
Duke,W, 62_59 ,2.6
North Carolina,W, 85_82 ,6.7
St. Bonaventure,W, 66_63 ,-3.4
Cincinnati,L, 62_56 ,0.8
