Opponent,Results,Score,PlusMinus
College of Charleston,L, 78_69 ,-14.9
Valparaiso,L, 88_38 ,-
Harvard,L, 73_64 ,-3.2
Boston College,W, 86_64 ,8.8
Fairfield,L, 73_52 ,-2.9
Hartford,W, 80_66 ,9.4
Maine,L, 72_60 ,0
Providence,L, 82_77 ,-5.1
New Hampshire,W, 62_57 ,1.6
Columbia,L, 46_45 ,8
Sacred Heart,W, 71_60 ,11.5
Connecticut,L, 77_40 ,-11.7
San Francisco,W, 88_83 ,3.6
Dartmouth,W, 65_61 ,-4.7
Yale,L, 82_67 ,-11.8
Lehigh,W, 84_78 ,10.7
Navy,W, 73_69 ,0.9
American,L, 67_54 ,-8
Lafayette,L, 54_43 ,1.7
Bucknell,L, 75_41 ,-10
Army,L, 74_68 ,-1
Colgate,W, 76_60 ,9.7
Lehigh,L, 75_51 ,-7.8
Navy,W, 64_52 ,5
American,W, 59_52 ,4.1
Lafayette,W, 70_63 ,5.9
Bucknell,W, 54_52 ,12
Army,W, 82_51 ,14.8
Colgate,W, 65_58 ,8.4
Lafayette,L, 84_76 ,-6.3
