Opponent,Results,Score,PlusMinus
Lehigh,W, 86_77 ,5
Drake,L, 74_65 ,-2.2
Western Carolina,W, 92_60 ,6.8
Northern Colorado,W, 90_82 ,7.3
Providence,W, 64_54 ,3
Rice,W, 90_63 ,9.8
Northern Iowa,L, 69_62 ,-0.9
Michigan,L, 76_66 ,-8.2
Prairie View A&M,W, 84_59 ,17.1
Iowa,W, 86_76 ,12
Central Michigan,W, 59_52 ,6.2
Lipscomb,W, 81_64 ,7
Mississippi Valley St.,W, 67_65 ,8.1
Texas,W, 77_71 ,6
Texas A&M,W, 74_50 ,13.7
Missouri,L, 76_69 ,-0.6
Kansas,L, 82_73 ,3
Oklahoma St.,W, 71_68 ,1.6
Texas Tech,W, 76_52 ,9.4
Texas,L, 62_55 ,-5.5
Kansas,W, 72_64 ,2.1
Kansas St.,W, 72_70 ,-3.7
Oklahoma,W, 77_70 ,3.9
Oklahoma St.,L, 69_67 ,-0.2
Texas A&M,W, 69_46 ,9.3
Baylor,L, 79_64 ,-7.5
Oklahoma,W, 80_69 ,7.4
Texas Tech,W, 72_54 ,0.8
Kansas St.,W, 65_61 ,3.3
Missouri,L, 78_72 ,1.2
Baylor,W, 80_72 ,-2
Texas,L, 71_65 ,0.8
Connecticut,W, 77_64 ,10.5
Kentucky,L, 87_71 ,-7.3
