Opponent,Results,Score,PlusMinus
Hofstra,L, 89_71 ,-4.9
Old Dominion,L, 77_69 ,-5.6
Penn St.,L, 77_68 ,-2.2
Radford,W, 81_59 ,11.9
Vermont,W, 80_75 ,3.6
Iona,L, 100_84 ,-13.8
Wagner,W, 78_73 ,3.7
Mount St. Mary's,W, 85_76 ,4
Lafayette,W, 82_80 ,0.2
Columbia,L, 63_53 ,-3.1
Norfolk St.,L, 73_62 ,-3.8
Saint Peter's,W, 82_80 ,8.5
Texas St.,W, 100_84 ,5.2
NJIT,W, 84_74 ,9.4
Sacred Heart,W, 87_81 ,4.4
Quinnipiac,W, 79_75 ,3.1
Fairleigh Dickinson,W, 82_64 ,10.4
Monmouth,W, 106_86 ,10.2
Mount St. Mary's,W, 77_62 ,12.6
Wagner,W, 73_66 ,3.6
Robert Morris,L, 75_66 ,-7
St. Francis PA,W, 97_76 ,13
Bryant,W, 75_70 ,1.5
Central Connecticut,W, 95_80 ,7
St. Francis NY,W, 86_77 ,7.2
St. Francis NY,W, 81_78 ,-0.1
Sacred Heart,W, 103_91 OT,0.3
Quinnipiac,W, 99_89 ,4.2
Fairleigh Dickinson,W, 91_80 ,6.7
Monmouth,L, 106_78 ,-6.8
Sacred Heart,W, 80_68 ,6
Quinnipiac,W, 78_75 ,0.7
Robert Morris,W, 90_73 ,5.8
Michigan St.,L, 89_67 ,-7
